index,date,Wage_Date,year,month,Avg_Taxable_Income,Avg_Taxable_Income_sa,Avg_Taxable_Income_trend
0,2008-01-01,2008-01-01,2008,1,413692.89,408772.7423978759,
1,2008-02-01,2008-02-01,2008,2,449381.6,457337.6184135008,
2,2008-03-01,2008-03-01,2008,3,451073.1,455551.0301062091,
3,2008-04-01,2008-04-01,2008,4,453950.66,461075.00932495913,
4,2008-05-01,2008-05-01,2008,5,458738.54,467506.74218954245,
5,2008-06-01,2008-06-01,2008,6,457736.04,475542.9614603758,
6,2008-07-01,2008-07-01,2008,7,454924.79,452823.54872140515,444314.16000000003
7,2008-08-01,2008-08-01,2008,8,419587.28,423119.29727532686,444248.77625
8,2008-09-01,2008-09-01,2008,9,440316.83,415451.1899223856,442519.51416666666
9,2008-10-01,2008-10-01,2008,10,443755.6,452372.4557312091,440854.56416666665
10,2008-11-01,2008-11-01,2008,11,424058.17,436107.5400541258,438893.99708333326
11,2008-12-01,2008-12-01,2008,12,454825.36,416380.72440308414,436628.5533333333
12,2009-01-01,2009-01-01,2009,1,433151.01,428230.86239787587,434750.76416666666
13,2009-02-01,2009-02-01,2009,2,428354.27,436310.2884135008,434740.9745833333
14,2009-03-01,2009-03-01,2009,3,430598.14,435076.07010620914,436113.4245833333
15,2009-04-01,2009-04-01,2009,4,434466.82,441591.16932495916,436517.5083333332
16,2009-05-01,2009-05-01,2009,5,431168.77,439936.9721895425,436924.24458333326
17,2009-06-01,2009-06-01,2009,6,430935.16,448742.0814603758,438301.8441666666
18,2009-07-01,2009-07-01,2009,7,436658.73,434557.48872140516,440202.55749999994
19,2009-08-01,2009-08-01,2009,8,437618.39,441150.40727532684,442546.2708333334
20,2009-09-01,2009-09-01,2009,9,455224.52,430358.8799223856,444986.6879166666
21,2009-10-01,2009-10-01,2009,10,438545.92,447162.7757312091,447639.0879166667
22,2009-11-01,2009-11-01,2009,11,439029.52,451078.89005412586,450427.51958333334
23,2009-12-01,2009-12-01,2009,12,472916.4,434471.7644030842,453187.80541666667
24,2010-01-01,2010-01-01,2010,1,460677.09,455756.9423978759,456006.4145833334
25,2010-02-01,2010-02-01,2010,2,457077.31,465033.3284135008,458902.1195833333
26,2010-03-01,2010-03-01,2010,3,460445.11,464923.0401062091,462268.51583333337
27,2010-04-01,2010-04-01,2010,4,468277.45,475401.79932495917,465888.0858333334
28,2010-05-01,2010-05-01,2010,5,464280.5,473048.70218954247,469389.5
29,2010-06-01,2010-06-01,2010,6,464070.29,481877.2114603758,475509.37374999997
30,2010-07-01,2010-07-01,2010,7,471170.22,469068.97872140515,483576.41541666666
31,2010-08-01,2010-08-01,2010,8,472603.82,476135.83727532683,490931.68374999997
32,2010-09-01,2010-09-01,2010,9,501032.6,476166.9599223856,498347.8187499999
33,2010-10-01,2010-10-01,2010,10,479607.52,488224.3757312091,505657.54708333325
34,2010-11-01,2010-11-01,2010,11,482001.86,494051.23005412583,512919.53791666665
35,2010-12-01,2010-12-01,2010,12,576821.03,538376.3944030842,520515.96541666664
36,2011-01-01,2011-01-01,2011,1,550381.46,545461.3123978758,528388.05875
37,2011-02-01,2011-02-01,2011,2,543899.38,551855.3984135009,536530.0729166665
38,2011-03-01,2011-03-01,2011,3,551610.28,556088.2101062092,544863.5366666666
39,2011-04-01,2011-04-01,2011,4,552545.76,559670.1093249591,552966.7366666667
40,2011-05-01,2011-05-01,2011,5,554299.97,563068.1721895424,560814.4545833333
41,2011-06-01,2011-06-01,2011,6,556365.08,574172.0014603758,566867.2683333333
42,2011-07-01,2011-07-01,2011,7,567805.67,565704.4287214052,568588.4187499998
43,2011-08-01,2011-08-01,2011,8,571376.71,574908.7272753267,567986.9741666666
44,2011-09-01,2011-09-01,2011,9,602262.84,577397.1999223856,567391.9704166666
45,2011-10-01,2011-10-01,2011,10,572854.08,581470.9357312091,566865.6291666665
46,2011-11-01,2011-11-01,2011,11,577100.53,589149.9000541258,566361.0599999999
47,2011-12-01,2011-12-01,2011,12,626989.89,588545.2544030842,565668.6224999999
48,2012-01-01,2012-01-01,2012,1,541520.21,536600.0623978758,568591.67625
49,2012-02-01,2012-02-01,2012,2,538325.96,546281.9784135008,574889.9683333333
50,2012-03-01,2012-03-01,2012,3,542903.61,547381.5401062091,581198.7412499998
51,2012-04-01,2012-04-01,2012,4,548620.24,555744.5893249591,587796.4474999999
52,2012-05-01,2012-05-01,2012,5,546115.83,554884.0321895424,591712.6449999999
53,2012-06-01,2012-06-01,2012,6,547930.72,565737.6414603759,592588.6862499999
54,2012-07-01,2012-07-01,2012,7,646393.32,644292.0787214051,598676.7383333333
55,2012-08-01,2012-08-01,2012,8,643948.07,647480.0872753267,610092.4295833334
56,2012-09-01,2012-09-01,2012,9,681102.03,656236.3899223857,621282.2649999999
57,2012-10-01,2012-10-01,2012,10,652359.84,660976.6957312091,632375.5495833333
58,2012-11-01,2012-11-01,2012,11,591583.51,603632.8800541258,643333.9887500001
59,2012-12-01,2012-12-01,2012,12,633531.9,595087.2644030842,654155.0395833334
60,2013-01-01,2013-01-01,2013,1,681091.45,676171.3023978758,661576.7920833334
61,2013-02-01,2013-02-01,2013,2,672731.31,680687.3284135009,665819.6725
62,2013-03-01,2013-03-01,2013,3,677054.31,681532.2401062092,667235.7324999999
63,2013-04-01,2013-04-01,2013,4,680708.37,687832.7193249591,665837.9708333333
64,2013-05-01,2013-05-01,2013,5,677030.24,685798.4421895425,667202.4504166667
65,2013-06-01,2013-06-01,2013,6,676721.53,694528.4514603759,671146.95375
66,2013-07-01,2013-07-01,2013,7,695724.57,693623.3287214051,672163.3233333334
67,2013-08-01,2013-08-01,2013,8,696445.95,699977.9672753267,670470.2583333332
68,2013-09-01,2013-09-01,2013,9,662589.59,637723.9499223856,668759.1566666665
69,2013-10-01,2013-10-01,2013,10,637326.0,645942.8557312092,666906.1995833332
70,2013-11-01,2013-11-01,2013,11,639364.86,651414.2300541258,665206.4283333333
71,2013-12-01,2013-12-01,2013,12,680418.63,641973.9944030842,663609.2845833333
72,2014-01-01,2014-01-01,2014,1,658597.59,653677.4423978758,660835.4420833333
73,2014-02-01,2014-02-01,2014,2,654591.61,662547.6284135008,656876.7599999999
74,2014-03-01,2014-03-01,2014,3,654127.57,658605.5001062091,655665.4745833334
75,2014-04-01,2014-04-01,2014,4,659164.14,666288.4893249591,657049.7299999999
76,2014-05-01,2014-05-01,2014,5,657779.96,666548.1621895424,658488.9975
77,2014-06-01,2014-06-01,2014,6,657640.36,675447.2814603759,660125.5604166667
78,2014-07-01,2014-07-01,2014,7,648233.52,646132.2787214052,661603.5833333333
79,2014-08-01,2014-08-01,2014,8,648928.63,652460.6472753268,662880.2191666667
80,2014-09-01,2014-09-01,2014,9,681036.06,656170.4199223857,664321.6983333332
81,2014-10-01,2014-10-01,2014,10,652101.66,660718.5157312092,665917.5099999999
82,2014-11-01,2014-11-01,2014,11,659131.62,671180.9900541258,667318.2733333333
83,2014-12-01,2014-12-01,2014,12,699929.38,661484.7444030842,668646.3225
84,2015-01-01,2015-01-01,2015,1,674559.39,669639.2423978759,672035.1787500001
85,2015-02-01,2015-02-01,2015,2,669269.07,677225.0884135008,677227.2070833334
86,2015-03-01,2015-03-01,2015,3,674045.61,678523.5401062091,682301.53
87,2015-04-01,2015-04-01,2015,4,677545.58,684669.929324959,687432.3079166667
88,2015-05-01,2015-05-01,2015,5,673016.84,681785.0421895424,692346.0037499999
89,2015-06-01,2015-06-01,2015,6,674276.66,692083.5814603759,697516.06
90,2015-07-01,2015-07-01,2015,7,712929.77,710828.5287214052,702187.0745833332
91,2015-08-01,2015-08-01,2015,8,708841.06,712373.0772753268,705872.7687499999
92,2015-09-01,2015-09-01,2015,9,742907.38,718041.7399223857,709615.9637499999
93,2015-10-01,2015-10-01,2015,10,713369.01,721985.8657312092,713267.1679166667
94,2015-11-01,2015-11-01,2015,11,715792.97,727842.3400541258,716729.6645833333
95,2015-12-01,2015-12-01,2015,12,767349.38,728904.7444030842,720162.3220833334
96,2016-01-01,2016-01-01,2016,1,719243.74,714323.5923978759,723520.3704166667
97,2016-02-01,2016-02-01,2016,2,713041.38,720997.3984135009,726905.1737499998
98,2016-03-01,2016-03-01,2016,3,720109.98,724587.9101062091,730317.9358333332
99,2016-04-01,2016-04-01,2016,4,719110.11,726234.4593249591,733595.1079166667
100,2016-05-01,2016-05-01,2016,5,714552.23,723320.4321895425,737048.4629166668
101,2016-06-01,2016-06-01,2016,6,715125.05,732931.9714603759,740613.2416666668
102,2016-07-01,2016-07-01,2016,7,752674.54,750573.2987214052,743893.6858333334
103,2016-08-01,2016-08-01,2016,8,750331.57,753863.5872753267,747021.3629166667
104,2016-09-01,2016-09-01,2016,9,783323.16,758457.5199223857,750036.045
105,2016-10-01,2016-10-01,2016,10,751605.36,760222.2157312091,753165.6774999999
106,2016-11-01,2016-11-01,2016,11,760437.14,772486.5100541258,756525.8149999998
107,2016-12-01,2016-12-01,2016,12,808259.9,769815.2644030842,759814.99375
108,2017-01-01,2017-01-01,2017,1,757063.88,752143.7323978759,761737.3454166668
109,2017-02-01,2017-02-01,2017,2,750285.49,758241.5084135009,762528.8025
110,2017-03-01,2017-03-01,2017,3,755218.24,759696.1701062091,763542.4025
111,2017-04-01,2017-04-01,2017,4,759113.03,766237.3793249591,764627.9141666667
112,2017-05-01,2017-05-01,2017,5,755192.61,763960.8121895425,765594.3287500001
113,2017-06-01,2017-06-01,2017,6,753424.96,771231.8814603759,766327.3445833334
114,2017-07-01,2017-07-01,2017,7,760511.07,758409.8287214051,768034.065
115,2017-08-01,2017-08-01,2017,8,761490.01,765022.0272753268,770818.7016666667
116,2017-09-01,2017-09-01,2017,9,796491.12,771625.4799223857,773620.4725
117,2017-10-01,2017-10-01,2017,10,764489.68,773106.5357312092,776276.7629166667
118,2017-11-01,2017-11-01,2017,11,770746.77,782796.1400541258,778841.2529166666
119,2017-12-01,2017-12-01,2017,12,815542.65,777098.0144030842,781494.6879166665
120,2018-01-01,2018-01-01,2018,1,790742.42,785822.2723978759,784145.2275
121,2018-02-01,2018-02-01,2018,2,783438.23,791394.2484135008,787895.43375
122,2018-03-01,2018-03-01,2018,3,789308.0,793785.9301062091,793073.2487499998
123,2018-04-01,2018-04-01,2018,4,788774.24,795898.5893249591,798567.5516666666
124,2018-05-01,2018-05-01,2018,5,787079.16,795847.3621895425,804196.6391666667
125,2018-06-01,2018-06-01,2018,6,785220.85,803027.7714603759,813839.3937499998
126,2018-07-01,2018-07-01,2018,7,792328.13,790226.8887214052,826731.4725
127,2018-08-01,2018-08-01,2018,8,819677.9,823209.9172753268,838664.5041666668
128,2018-09-01,2018-09-01,2018,9,862570.79,837705.1499223857,849675.1162500001
129,2018-10-01,2018-10-01,2018,10,830273.28,838890.1357312092,860123.5345833333
130,2018-11-01,2018-11-01,2018,11,840061.27,852110.6400541258,870537.1891666667
131,2018-12-01,2018-12-01,2018,12,977654.26,939209.6244030842,877659.5962500002
132,2019-01-01,2019-01-01,2019,1,938040.7,933120.5523978758,884775.5395833335
133,2019-02-01,2019-02-01,2019,2,922532.71,930488.7284135008,893931.36375
134,2019-03-01,2019-03-01,2019,3,914468.21,918946.1401062091,902237.7166666666
135,2019-04-01,2019-04-01,2019,4,914376.07,921500.419324959,910428.3016666666
136,2019-05-01,2019-05-01,2019,5,911405.04,920173.2421895425,918245.0162499999
137,2019-06-01,2019-06-01,2019,6,831832.74,849639.6614603759,922934.5999999997
138,2019-07-01,2019-07-01,2019,7,916498.88,914397.6387214052,925945.8062499999
139,2019-08-01,2019-08-01,2019,8,915246.93,918778.9472753268,930516.2525000001
140,2019-09-01,2019-09-01,2019,9,966354.23,941488.5899223856,936244.08875
141,2019-10-01,2019-10-01,2019,10,923063.88,931680.7357312092,943132.4899999999
142,2019-11-01,2019-11-01,2019,11,934871.82,946921.1900541257,949649.4245833333
143,2019-12-01,2019-12-01,2019,12,995393.72,956949.0844030841,959088.7937500001
144,2020-01-01,2020-01-01,2020,1,992570.19,987650.0423978758,968487.6104166666
145,2020-02-01,2020-02-01,2020,2,977693.93,985649.9484135009,974586.8233333332
146,2020-03-01,2020-03-01,2020,3,996775.06,1001252.9901062092,980521.2337499999
147,2020-04-01,2020-04-01,2020,4,997390.85,1004515.1993249591,985765.8016666665
148,2020-05-01,2020-05-01,2020,5,984796.69,993564.8921895424,990161.9504166666
149,2020-06-01,2020-06-01,2020,6,984985.95,1002792.8714603758,994167.9954166666
150,2020-07-01,2020-07-01,2020,7,988917.27,986816.0287214052,996690.2483333332
151,2020-08-01,2020-08-01,2020,8,989209.65,992741.6672753268,997763.8212499999
152,2020-09-01,2020-09-01,2020,9,1034817.36,1009951.7199223856,999142.7095833332
153,2020-10-01,2020-10-01,2020,10,980470.38,989087.2357312092,1000319.9787499999
154,2020-11-01,2020-11-01,2020,11,982972.89,995022.2600541258,1001537.7241666666
155,2020-12-01,2020-12-01,2020,12,1043437.73,1004993.0944030841,1003568.6091666666
156,2021-01-01,2021-01-01,2021,1,1005060.25,1000140.1023978759,1006426.1304166666
157,2021-02-01,2021-02-01,2021,2,990969.62,998925.6384135009,1009469.5420833332
158,2021-03-01,2021-03-01,2021,3,1016592.69,1021070.6201062091,1012243.0362499999
159,2021-04-01,2021-04-01,2021,4,1005827.68,1012952.0293249591,1015841.9008333331
160,2021-05-01,2021-05-01,2021,5,1005585.75,1014353.9521895425,1020641.5954166666
161,2021-06-01,2021-06-01,2021,6,1012938.13,1030745.0514603759,1026887.00875
162,2021-07-01,2021-07-01,2021,7,1029545.6,1027444.3587214052,1033933.085
163,2021-08-01,2021-08-01,2021,8,1021623.2,1025155.2172753267,1040841.6916666665
164,2021-09-01,2021-09-01,2021,9,1068967.67,1044102.0299223856,1047783.7600000001
165,2021-10-01,2021-10-01,2021,10,1032692.82,1041309.6757312091,1055055.45875
166,2021-11-01,2021-11-01,2021,11,1045943.12,1057992.490054126,1063930.82
167,2021-12-01,2021-12-01,2021,12,1130357.42,1091912.784403084,1073928.4879166668
168,2022-01-01,2022-01-01,2022,1,1087246.39,1082326.2423978758,1083895.0995833334
169,2022-02-01,2022-02-01,2022,2,1074590.04,1082546.058413501,1094688.74875
170,2022-03-01,2022-03-01,2022,3,1099581.91,1104059.840106209,1106731.34375
171,2022-04-01,2022-04-01,2022,4,1097359.23,1104483.579324959,1118936.2416666667
172,2022-05-01,2022-05-01,2022,5,1127062.87,1135831.0721895427,1130827.4083333332
173,2022-06-01,2022-06-01,2022,6,1131405.04,1149211.961460376,1138288.3420833335
174,2022-07-01,2022-07-01,2022,7,1150277.37,1148176.1287214053,1141568.319583333
175,2022-08-01,2022-08-01,2022,8,1159939.01,1163471.027275327,1145212.315
176,2022-09-01,2022-09-01,2022,9,1219674.14,1194808.4999223854,1148378.4666666666
177,2022-10-01,2022-10-01,2022,10,1174903.9,1183520.755731209,1151382.5191666665
178,2022-11-01,2022-11-01,2022,11,1189120.04,1201169.4100541258,1155802.4908333335
179,2022-12-01,2022-12-01,2022,12,1166242.91,1127798.274403084,1161145.2491666665
180,2023-01-01,2023-01-01,2023,1,1130080.36,1125160.212397876,1165736.4775
181,2023-02-01,2023-02-01,2023,2,1119211.96,1127167.9784135008,1169334.3020833335
182,2023-03-01,2023-03-01,2023,3,1130947.63,1135425.560106209,1171340.72875
183,2023-04-01,2023-04-01,2023,4,1138090.77,1145215.119324959,1172273.2166666668
184,2023-05-01,2023-05-01,2023,5,1192410.65,1201178.8521895425,1173004.7291666667
185,2023-06-01,2023-06-01,2023,6,1194283.46,1212090.3814603759,1177464.2575
186,2023-07-01,2023-07-01,2023,7,1197588.43,1195487.188721405,1185888.5920833333
187,2023-08-01,2023-08-01,2023,8,1198975.74,1202507.7572753269,1194160.15375
188,2023-09-01,2023-09-01,2023,9,1228791.65,1203926.0099223854,1202406.3708333333
189,2023-10-01,2023-10-01,2023,10,1188166.1,1196782.9557312091,1210479.0329166667
190,2023-11-01,2023-11-01,2023,11,1193414.14,1205463.5100541257,1216368.9529166664
191,2023-12-01,2023-12-01,2023,12,1268977.49,1230532.8544030841,1220223.5354166667
192,2024-01-01,2024-01-01,2024,1,1229529.81,1224609.662397876,1225889.4391666667
193,2024-02-01,2024-02-01,2024,2,1218279.99,1226236.0084135009,1233225.5779166666
194,2024-03-01,2024-03-01,2024,3,1229788.81,1234266.7401062092,1241531.4283333335
195,2024-04-01,2024-04-01,2024,4,1232993.48,1240117.829324959,1250792.5741666667
196,2024-05-01,2024-05-01,2024,5,1238866.02,1247634.2221895426,1260299.927083333
197,2024-06-01,2024-06-01,2024,6,1240338.07,1258144.991460376,1275790.8512500003
198,2024-07-01,2024-07-01,2024,7,1287515.51,1285414.2687214052,1296940.4799999997
199,2024-08-01,2024-08-01,2024,8,1285115.99,1288648.0072753269,1317937.7574999998
200,2024-09-01,2024-09-01,2024,9,1341991.81,1317126.1699223856,1339187.5316666667
201,2024-10-01,2024-10-01,2024,10,1297233.44,1305850.295731209,
202,2024-11-01,2024-11-01,2024,11,1312523.27,1324572.6400541258,
203,2024-12-01,2024-12-01,2024,12,1521650.54,1483205.9044030842,
204,2025-01-01,2025-01-01,2025,1,1484447.85,1479527.702397876,
205,2025-02-01,2025-02-01,2025,2,1467296.61,1475252.628413501,
206,2025-03-01,2025-03-01,2025,3,1490766.77,1495244.7001062091,
