index,date,Wage_Date,Real_Avg_Wage,year,month,Real_Avg_Wage_MA3,Real_Avg_Wage_MA3_sa,Real_Avg_Wage_MA3_trend
0,2008-03-01,2008-03-01,821460.95,2008,3,803066.0299999999,805569.6242000272,
1,2008-04-01,2008-04-01,823739.64,2008,4,823445.8933333332,831782.4380889159,
2,2008-05-01,2008-05-01,822919.92,2008,5,822706.8366666668,832683.8917521107,
3,2008-06-01,2008-06-01,809099.08,2008,6,818586.2133333333,834032.0054066244,
4,2008-07-01,2008-07-01,795122.96,2008,7,809047.32,820001.0313875272,
5,2008-08-01,2008-08-01,726585.53,2008,8,776935.8566666668,783532.4539222496,
6,2008-09-01,2008-09-01,754465.08,2008,9,758724.5233333333,747698.9126278255,778060.6575000001
7,2008-10-01,2008-10-01,753695.74,2008,10,744915.4500000001,739489.1998771105,772642.5034722225
8,2008-11-01,2008-11-01,721124.31,2008,11,743095.0433333333,743781.0348250273,766520.8483333335
9,2008-12-01,2008-12-01,782672.7,2008,12,752497.5833333334,746267.432663569,760685.6690277777
10,2009-01-01,2009-01-01,751103.31,2009,1,751633.4400000001,737660.9440524578,755523.3574999999
11,2009-02-01,2009-02-01,745501.75,2009,2,759759.2533333334,741914.4745298884,752390.1009722222
12,2009-03-01,2009-03-01,746479.71,2009,3,747694.9233333333,750198.5175333605,752123.8902777777
13,2009-04-01,2009-04-01,754362.45,2009,4,748781.3033333332,757117.8480889159,753738.5143055554
14,2009-05-01,2009-05-01,750512.95,2009,5,750451.7033333333,760428.7584187771,755964.2049999998
15,2009-06-01,2009-06-01,747515.73,2009,6,750797.0433333333,766242.8354066245,758365.9701388888
16,2009-07-01,2009-07-01,760794.36,2009,7,752941.0133333333,763894.7247208606,761483.7580555554
17,2009-08-01,2009-08-01,765221.93,2009,8,757844.0066666667,764440.6039222495,765239.6012499998
18,2009-09-01,2009-09-01,788265.66,2009,9,771427.3166666668,760401.705961159,769140.5602777777
19,2009-10-01,2009-10-01,759403.31,2009,10,770963.6333333334,765537.3832104439,773188.2188888888
20,2009-11-01,2009-11-01,763721.34,2009,11,770463.4366666666,771149.4281583606,777282.6629166666
21,2009-12-01,2009-12-01,825190.01,2009,12,782771.5533333333,776541.402663569,781360.1218055555
22,2010-01-01,2010-01-01,799647.79,2010,1,796186.38,782213.8840524578,785286.9570833333
23,2010-02-01,2010-02-01,791201.85,2010,2,805346.5500000002,787501.7711965551,789014.7923611113
24,2010-03-01,2010-03-01,796342.29,2010,3,795730.6433333332,798234.2375333605,792878.1966666668
25,2010-04-01,2010-04-01,806124.03,2010,4,797889.39,806225.9347555827,797117.4355555555
26,2010-05-01,2010-05-01,796364.5,2010,5,799610.2733333334,809587.3284187773,801709.0556944443
27,2010-06-01,2010-06-01,796003.93,2010,6,799497.4866666667,814943.2787399578,807716.8509722222
28,2010-07-01,2010-07-01,803085.42,2010,7,798484.6166666667,809438.328054194,816011.6866666668
29,2010-08-01,2010-08-01,806216.0,2010,8,801768.4500000001,808365.0472555829,826355.8468055555
30,2010-09-01,2010-09-01,851372.31,2010,9,820224.5766666667,809198.9659611589,837343.3919444445
31,2010-10-01,2010-10-01,814136.01,2010,10,823908.1066666668,818481.8565437773,847767.5979166667
32,2010-11-01,2010-11-01,817645.22,2010,11,827717.8466666667,828403.8381583607,857963.90875
33,2010-12-01,2010-12-01,977331.46,2010,12,869704.23,863474.0793302356,868141.7252777776
34,2011-01-01,2011-01-01,930012.6,2011,1,908329.7599999999,894357.2640524576,878625.2866666665
35,2011-02-01,2011-02-01,917044.98,2011,2,941463.0133333333,923618.2345298883,889611.3334722221
36,2011-03-01,2011-03-01,922888.21,2011,3,923315.2633333333,925818.8575333606,900974.2820833332
37,2011-04-01,2011-04-01,921523.95,2011,4,920485.7133333333,928822.258088916,912329.6011111111
38,2011-05-01,2011-05-01,920764.07,2011,5,921725.4099999998,931702.4650854437,923300.4769444445
39,2011-06-01,2011-06-01,922661.82,2011,6,921649.9466666667,937095.7387399578,932688.8569444445
40,2011-07-01,2011-07-01,940387.0,2011,7,927937.63,938891.3413875273,938247.1641666668
41,2011-08-01,2011-08-01,944892.86,2011,8,935980.5599999999,942577.1572555827,938967.9951388891
42,2011-09-01,2011-09-01,990889.84,2011,9,958723.2333333334,947697.6226278256,936081.7247222222
43,2011-10-01,2011-10-01,938028.62,2011,10,957937.1066666668,952510.8565437773,932184.1527777778
44,2011-11-01,2011-11-01,942051.14,2011,11,956989.8666666667,957675.8581583607,928584.1433333333
45,2011-12-01,2011-12-01,1017180.23,2011,12,965753.3300000001,959523.1793302357,925219.0584722222
46,2012-01-01,2012-01-01,877808.73,2012,1,945680.0333333333,931707.5373857911,923961.3322222224
47,2012-02-01,2012-02-01,869249.09,2012,2,921412.6833333332,903567.9045298882,926534.7433333334
48,2012-03-01,2012-03-01,875227.49,2012,3,874095.1033333332,876598.6975333604,932867.1293055556
49,2012-04-01,2012-04-01,884015.86,2012,4,876164.1466666666,884500.6914222493,941036.2780555555
50,2012-05-01,2012-05-01,879696.9,2012,5,879646.75,889623.8050854439,947901.1413888887
51,2012-06-01,2012-06-01,885186.95,2012,6,882966.57,898412.3620732911,952085.1705555555
52,2012-07-01,2012-07-01,1044422.88,2012,7,936435.5766666667,947389.288054194,956350.2293055553
53,2012-08-01,2012-08-01,1038123.61,2012,8,989244.48,995841.0772555828,964901.7740277777
54,2012-09-01,2012-09-01,1089763.24,2012,9,1057436.5766666667,1046410.9659611589,979060.5774999999
55,2012-10-01,2012-10-01,1037963.15,2012,10,1055283.3333333333,1049857.0832104438,995957.588611111
56,2012-11-01,2012-11-01,945474.69,2012,11,1024400.3599999999,1025086.3514916939,1012724.2916666666
57,2012-12-01,2012-12-01,1012840.77,2012,12,998759.5366666666,992529.3859969022,1029290.8330555555
58,2013-01-01,2013-01-01,1086790.25,2013,1,1015035.2366666667,1001062.7407191244,1043658.7615277776
59,2013-02-01,2013-02-01,1072252.64,2013,2,1057294.5533333335,1039449.7745298884,1054049.645972222
60,2013-03-01,2013-03-01,1075030.66,2013,3,1078024.5166666666,1080528.1108666938,1059191.4879166665
61,2013-04-01,2013-04-01,1086005.7,2013,4,1077763.0,1086099.5447555827,1059709.6304166664
62,2013-05-01,2013-05-01,1080309.95,2013,5,1080448.77,1090425.825085444,1058797.3405555554
63,2013-06-01,2013-06-01,1072968.98,2013,6,1079761.5433333332,1095207.3354066242,1059068.2072222221
64,2013-07-01,2013-07-01,1100133.73,2013,7,1084470.8866666665,1095424.5980541937,1060253.0999999999
65,2013-08-01,2013-08-01,1098668.48,2013,8,1090590.3966666667,1097186.9939222494,1059450.5938888888
66,2013-09-01,2013-09-01,1039682.39,2013,9,1079494.8666666667,1068469.2559611588,1055400.7231944443
67,2013-10-01,2013-10-01,998630.52,2013,10,1045660.4633333334,1040234.213210444,1049462.9943055552
68,2013-11-01,2013-11-01,998071.91,2013,11,1012128.2733333334,1012814.2648250274,1042983.7368055554
69,2013-12-01,2013-12-01,1055894.84,2013,12,1017532.4233333333,1011302.272663569,1036172.967361111
70,2014-01-01,2014-01-01,1020132.58,2014,1,1024699.7766666667,1010727.2807191245,1028812.2854166665
71,2014-02-01,2014-02-01,1009082.18,2014,2,1028369.8666666667,1010525.0878632216,1020416.7549999999
72,2014-03-01,2014-03-01,1000042.16,2014,3,1009752.3066666666,1012255.9008666938,1012255.4252777776
73,2014-04-01,2014-04-01,1001464.81,2014,4,1003529.7166666667,1011866.2614222494,1006045.5463888887
74,2014-05-01,2014-05-01,996032.65,2014,5,999179.8733333334,1009156.9284187773,1002381.6415277777
75,2014-06-01,2014-06-01,995218.46,2014,6,997571.9733333333,1013017.7654066244,1000143.7118055554
76,2014-07-01,2014-07-01,978761.16,2014,7,990004.09,1000957.8013875273,998184.8847222221
77,2014-08-01,2014-08-01,976713.77,2014,8,983564.4633333334,990161.0605889162,996484.2013888889
78,2014-09-01,2014-09-01,1016471.73,2014,9,990648.8866666667,979623.2759611589,994932.4243055555
79,2014-10-01,2014-10-01,963222.55,2014,10,985469.35,980043.0998771104,993583.6811111111
80,2014-11-01,2014-11-01,973462.73,2014,11,984385.6699999999,985071.6614916939,992411.194861111
81,2014-12-01,2014-12-01,1038008.86,2014,12,991564.7133333333,985334.5626635689,991210.2658333333
82,2015-01-01,2015-01-01,999495.32,2015,1,1003655.6366666667,989683.1407191245,990787.7379166667
83,2015-02-01,2015-02-01,988288.64,2015,2,1008597.6066666668,990752.8278632218,992008.0770833333
84,2015-03-01,2015-03-01,989061.79,2015,3,992281.9166666666,994785.5108666939,994844.8233333332
85,2015-04-01,2015-04-01,988540.38,2015,4,988630.27,996966.8147555827,998530.2502777779
86,2015-05-01,2015-05-01,980216.78,2015,5,985939.65,995916.7050854439,1002272.8598611113
87,2015-06-01,2015-06-01,977212.54,2015,6,981989.9,997435.6920732912,1006198.0938888891
88,2015-07-01,2015-07-01,1028907.16,2015,7,995445.4933333335,1006399.2047208608,1009795.8370833334
89,2015-08-01,2015-08-01,1016113.9,2015,8,1007411.2000000001,1014007.7972555829,1012576.0972222224
90,2015-09-01,2015-09-01,1059631.12,2015,9,1034884.06,1023858.4492944923,1014580.9961111111
91,2015-10-01,2015-10-01,1013308.25,2015,10,1029684.4233333335,1024258.1732104439,1016187.0293055555
92,2015-11-01,2015-11-01,1017040.31,2015,11,1029993.2266666669,1030679.2181583609,1017814.8698611113
93,2015-12-01,2015-12-01,1090139.76,2015,12,1040162.7733333334,1033932.622663569,1019380.9834722222
94,2016-01-01,2016-01-01,1017030.17,2016,1,1041403.4133333334,1027430.9173857912,1020834.7284722222
95,2016-02-01,2016-02-01,1005558.29,2016,2,1037576.0733333334,1019731.2945298883,1022337.1918055556
96,2016-03-01,2016-03-01,1011674.61,2016,3,1011421.0233333334,1013924.6175333606,1024021.4416666668
97,2016-04-01,2016-04-01,1006874.98,2016,4,1008035.9600000001,1016372.5047555828,1025928.8444444444
98,2016-05-01,2016-05-01,998256.81,2016,5,1005602.1333333334,1015579.1884187773,1028081.325
99,2016-06-01,2016-06-01,994610.64,2016,6,999914.1433333334,1015359.9354066246,1030402.1463888888
100,2016-07-01,2016-07-01,1044365.94,2016,7,1012411.13,1023364.8413875273,1032773.3273611111
101,2016-08-01,2016-08-01,1040537.47,2016,8,1026504.6833333335,1033101.2805889163,1035023.4905555557
102,2016-09-01,2016-09-01,1083734.31,2016,9,1056212.5733333335,1045186.9626278257,1037057.6579166667
103,2016-10-01,2016-10-01,1038128.95,2016,10,1054133.576666667,1048707.3265437775,1039049.4572222224
104,2016-11-01,2016-11-01,1049747.56,2016,11,1057203.6066666667,1057889.5981583607,1041185.8384722223
105,2016-12-01,2016-12-01,1118079.81,2016,12,1068652.1066666667,1062421.9559969024,1043618.121111111
106,2017-01-01,2017-01-01,1041639.9,2017,1,1069822.4233333336,1055849.9273857914,1045766.97375
107,2017-02-01,2017-02-01,1029763.23,2017,2,1063160.9800000002,1045316.2011965552,1046949.6180555555
108,2017-03-01,2017-03-01,1032565.27,2017,3,1034656.1333333334,1037159.7275333607,1047193.2154166666
109,2017-04-01,2017-04-01,1035483.6,2017,4,1032604.0333333336,1040940.5780889163,1047043.3918055556
110,2017-05-01,2017-05-01,1028872.76,2017,5,1032307.2100000003,1042284.2650854442,1046933.4225
111,2017-06-01,2017-06-01,1030395.19,2017,6,1031583.8500000002,1047029.6420732914,1046552.0590277778
112,2017-07-01,2017-07-01,1037673.71,2017,7,1032313.8866666667,1043267.598054194,1046272.4818055558
113,2017-08-01,2017-08-01,1036887.27,2017,8,1034985.3900000001,1041581.9872555829,1046757.3444444446
114,2017-09-01,2017-09-01,1086173.63,2017,9,1053578.2033333334,1042552.5926278256,1048252.6159722224
115,2017-10-01,2017-10-01,1036455.64,2017,10,1053172.1800000002,1047745.9298771108,1050300.9730555557
116,2017-11-01,2017-11-01,1043947.95,2017,11,1055525.74,1056211.731491694,1052277.657638889
117,2017-12-01,2017-12-01,1103128.16,2017,12,1061177.2500000002,1054947.099330236,1054071.2072222224
118,2018-01-01,2018-01-01,1064686.17,2018,1,1070587.4266666668,1056614.9307191246,1055645.068888889
119,2018-02-01,2018-02-01,1054283.71,2018,2,1074032.6800000002,1056187.9011965552,1057543.3033333335
120,2018-03-01,2018-03-01,1060042.97,2018,3,1059670.9500000002,1062174.5442000274,1060358.6920833334
121,2018-04-01,2018-04-01,1055922.68,2018,4,1056749.7866666669,1065086.3314222496,1064278.881388889
122,2018-05-01,2018-05-01,1050840.01,2018,5,1055601.8866666667,1065578.9417521106,1068952.5375
123,2018-06-01,2018-06-01,1047240.4,2018,6,1051334.3633333335,1066780.1554066245,1075626.2169444445
124,2018-07-01,2018-07-01,1052927.75,2018,7,1050336.0533333335,1061289.7647208606,1085710.1644444445
125,2018-08-01,2018-08-01,1087394.4,2018,8,1062520.85,1069117.4472555828,1098730.28875
126,2018-09-01,2018-09-01,1140514.07,2018,9,1093612.0733333335,1082586.4626278256,1112442.657638889
127,2018-10-01,2018-10-01,1093760.09,2018,10,1107222.8533333335,1101796.603210444,1125048.3093055557
128,2018-11-01,2018-11-01,1106654.28,2018,11,1113642.8133333335,1114328.8048250275,1136834.970138889
129,2018-12-01,2018-12-01,1289271.08,2018,12,1163228.4833333334,1156998.3326635691,1146781.2831944446
130,2019-01-01,2019-01-01,1235727.44,2019,1,1210550.9333333336,1196578.4373857914,1155199.48
131,2019-02-01,2019-02-01,1214657.95,2019,2,1246552.1566666667,1228707.3778632218,1163040.2473611112
132,2019-03-01,2019-03-01,1198359.59,2019,3,1216248.326666667,1218751.920866694,1171426.4120833334
133,2019-04-01,2019-04-01,1195106.61,2019,4,1202708.05,1211044.5947555827,1180255.9370833335
134,2019-05-01,2019-05-01,1184104.25,2019,5,1192523.4833333336,1202500.5384187775,1188402.5123611111
135,2019-06-01,2019-06-01,1080161.98,2019,6,1153124.28,1168570.072073291,1194760.5434722223
136,2019-07-01,2019-07-01,1187482.35,2019,7,1150582.86,1161536.5713875273,1198531.504166667
137,2019-08-01,2019-08-01,1183713.05,2019,8,1150452.4600000002,1157049.057255583,1200506.4275000002
138,2019-09-01,2019-09-01,1249649.85,2019,9,1206948.416666667,1195922.805961159,1202601.4805555558
139,2019-10-01,2019-10-01,1184022.43,2019,10,1205795.11,1200368.8598771107,1206266.5473611113
140,2019-11-01,2019-11-01,1198092.81,2019,11,1210588.3633333335,1211274.3548250275,1210959.5090277782
141,2019-12-01,2019-12-01,1274511.8,2019,12,1218875.68,1212645.5293302357,1217623.430416667
142,2020-01-01,2020-01-01,1263615.77,2020,1,1245406.7933333337,1231434.2973857915,1225712.1215277778
143,2020-02-01,2020-02-01,1239155.8,2020,2,1259094.4566666668,1241249.6778632218,1233816.7873611113
144,2020-03-01,2020-03-01,1259190.33,2020,3,1253987.3,1256490.8942000272,1240340.2184722223
145,2020-04-01,2020-04-01,1260445.91,2020,4,1252930.6800000004,1261267.224755583,1244878.992916667
146,2020-05-01,2020-05-01,1245159.56,2020,5,1254931.9333333336,1264908.9884187775,1248557.6158333335
147,2020-06-01,2020-06-01,1246344.36,2020,6,1250649.9433333336,1266095.7354066246,1251369.4920833337
148,2020-07-01,2020-07-01,1250053.43,2020,7,1247185.7833333334,1258139.4947208606,1252991.182777778
149,2020-08-01,2020-08-01,1248686.76,2020,8,1248361.5166666668,1254958.1139222495,1253139.1411111113
150,2020-09-01,2020-09-01,1298064.93,2020,9,1265601.7066666668,1254576.0959611589,1252177.3484722227
151,2020-10-01,2020-10-01,1221465.53,2020,10,1256072.406666667,1250646.1565437776,1250641.7766666668
152,2020-11-01,2020-11-01,1226263.59,2020,11,1248598.0166666668,1249284.0081583608,1248995.5456944448
153,2020-12-01,2020-12-01,1297324.05,2020,12,1248351.0566666669,1242120.9059969026,1247333.7055555559
154,2021-01-01,2021-01-01,1240968.34,2021,1,1254851.9933333334,1240879.4973857913,1246010.1109722224
155,2021-02-01,2021-02-01,1221308.38,2021,2,1253200.2566666668,1235355.477863222,1245040.8154166664
156,2021-03-01,2021-03-01,1248118.71,2021,3,1236798.4766666668,1239302.070866694,1243891.6054166667
157,2021-04-01,2021-04-01,1230370.25,2021,4,1233265.7800000003,1241602.324755583,1242515.3376388887
158,2021-05-01,2021-05-01,1226772.91,2021,5,1235087.2900000003,1245064.3450854442,1241300.527361111
159,2021-06-01,2021-06-01,1234688.11,2021,6,1230610.4233333336,1246056.2154066246,1240830.506111111
160,2021-07-01,2021-07-01,1244916.08,2021,7,1235459.0333333334,1246412.7447208606,1241090.794027778
161,2021-08-01,2021-08-01,1230871.33,2021,8,1236825.1733333336,1243421.7705889163,1241682.3066666666
162,2021-09-01,2021-09-01,1272883.62,2021,9,1249557.01,1238531.399294492,1242027.828888889
163,2021-10-01,2021-10-01,1213505.08,2021,10,1239086.6766666668,1233660.4265437773,1241687.1766666665
164,2021-11-01,2021-11-01,1222896.2,2021,11,1236428.3,1237114.291491694,1241035.5104166667
165,2021-12-01,2021-12-01,1311319.51,2021,12,1249240.2633333334,1243010.1126635692,1240442.8962500002
166,2022-01-01,2022-01-01,1246413.38,2022,1,1260209.6966666665,1246237.2007191244,1239929.9745833336
167,2022-02-01,2022-02-01,1228383.68,2022,2,1262038.8566666667,1244194.0778632218,1239257.6811111113
168,2022-03-01,2022-03-01,1233960.17,2022,3,1236252.4100000001,1238756.0042000273,1238600.3080555557
169,2022-04-01,2022-04-01,1214564.73,2022,4,1225636.1933333336,1233972.7380889163,1238480.5420833335
170,2022-05-01,2022-05-01,1232705.76,2022,5,1227076.8866666667,1237053.9417521106,1238853.2774999999
171,2022-06-01,2022-06-01,1225923.77,2022,6,1224398.086666667,1239843.878739958,1237752.5709722224
172,2022-07-01,2022-07-01,1229454.22,2022,7,1229361.2500000002,1240314.9613875274,1233605.2504166667
173,2022-08-01,2022-08-01,1224985.75,2022,8,1226787.9133333333,1233384.510588916,1226778.8029166667
174,2022-09-01,2022-09-01,1277011.98,2022,9,1243817.316666667,1232791.705961159,1218990.4372222226
175,2022-10-01,2022-10-01,1223858.23,2022,10,1241951.9866666668,1236525.7365437774,1211824.7758333334
176,2022-11-01,2022-11-01,1226655.71,2022,11,1242508.6400000001,1243194.6314916941,1205730.1586111113
177,2022-12-01,2022-12-01,1199714.96,2022,12,1216742.9666666668,1210512.8159969025,1201318.156666667
178,2023-01-01,2023-01-01,1153143.23,2023,1,1193171.3,1179198.804052458,1198435.6875
179,2023-02-01,2023-02-01,1142869.35,2023,2,1165242.5133333334,1147397.7345298885,1196273.3425
180,2023-03-01,2023-03-01,1142371.35,2023,3,1146127.9766666668,1148631.570866694,1193837.6280555555
181,2023-04-01,2023-04-01,1146113.56,2023,4,1143784.7533333336,1152121.2980889163,1190725.9420833334
182,2023-05-01,2023-05-01,1199487.63,2023,5,1162657.5133333334,1172634.5684187773,1186951.907638889
183,2023-06-01,2023-06-01,1203187.05,2023,6,1182929.4133333333,1198375.2054066244,1184287.853472222
184,2023-07-01,2023-07-01,1202277.31,2023,7,1201650.6633333333,1212604.3747208605,1184545.7555555555
185,2023-08-01,2023-08-01,1202342.3,2023,8,1202602.2200000002,1209198.817255583,1187593.8399999999
186,2023-09-01,2023-09-01,1224017.98,2023,9,1209545.8633333335,1198520.2526278256,1192011.2631944448
187,2023-10-01,2023-10-01,1178268.65,2023,10,1201542.9766666668,1196116.7265437774,1196310.262638889
188,2023-11-01,2023-11-01,1174735.84,2023,11,1192340.8233333335,1193026.8148250275,1199804.457777778
189,2023-12-01,2023-12-01,1255915.96,2023,12,1202973.4833333334,1196743.3326635691,1201778.011666667
190,2024-01-01,2024-01-01,1208739.5,2024,1,1213130.4333333336,1199157.9373857914,1202728.2912500002
191,2024-02-01,2024-02-01,1190656.76,2024,2,1218437.406666667,1200592.627863222,1203901.4244444445
192,2024-03-01,2024-03-01,1197457.46,2024,3,1198951.2400000002,1201454.8342000274,1206384.6748611112
193,2024-04-01,2024-04-01,1194298.21,2024,4,1194137.4766666668,1202474.0214222495,1209989.2576388891
194,2024-05-01,2024-05-01,1196740.75,2024,5,1196165.4733333334,1206142.5284187773,1214352.6884722223
195,2024-06-01,2024-06-01,1199321.28,2024,6,1196786.7466666668,1212232.5387399578,1220973.550277778
196,2024-07-01,2024-07-01,1235738.09,2024,7,1210600.0400000003,1221553.7513875274,1231155.6820833334
197,2024-08-01,2024-08-01,1230364.75,2024,8,1221808.0400000003,1228404.637255583,1244733.021527778
198,2024-09-01,2024-09-01,1283711.32,2024,9,1249938.0533333337,1238912.4426278258,1259908.6563888888
199,2024-10-01,2024-10-01,1228906.25,2024,10,1247660.7733333334,1242234.523210444,
200,2024-11-01,2024-11-01,1240218.53,2024,11,1250945.366666667,1251631.358158361,
201,2024-12-01,2024-12-01,1440684.09,2024,12,1303269.6233333333,1297039.472663569,
202,2025-01-01,2025-01-01,1390713.75,2025,1,1357205.4566666668,1343232.9607191246,
203,2025-02-01,2025-02-01,1369257.75,2025,2,1400218.5300000003,1382373.7511965553,
204,2025-03-01,2025-03-01,1384184.56,2025,3,1381385.3533333335,1383888.9475333607,
