date,Wage_Date,Real_Avg_Wage,year,month,Real_Avg_Wage_sa,Real_Avg_Wage_trend,Real_Wage_Growth_SA,Real_Wage_Growth_SA_Annual
2008-01-01,2008-01-01,762600.05,2008,1,754772.3178366269,,,
2008-02-01,2008-02-01,825137.09,2008,2,833374.7306230852,,10.41405612380608,
2008-03-01,2008-03-01,821460.95,2008,3,828041.6054668351,,-0.6399432284517115,
2008-04-01,2008-04-01,823739.64,2008,4,833410.7595032935,,0.6484159734257977,
2008-05-01,2008-05-01,822919.92,2008,5,836079.0916126686,,0.3201701056709805,
2008-06-01,2008-06-01,809099.08,2008,6,832085.9464303767,,-0.4776037604994676,
2008-07-01,2008-07-01,795122.96,2008,7,790743.7550716145,782739.5566666666,-4.968500133444021,
2008-08-01,2008-08-01,726585.53,2008,8,729678.530267693,778942.3866666665,-7.7225048458828605,
2008-09-01,2008-09-01,754465.08,2008,9,722154.2338706341,772500.0291666667,-1.0311796338996704,
2008-10-01,2008-10-01,753695.74,2008,10,769095.0436699601,766485.0945833335,6.500108646837188,
2008-11-01,2008-11-01,721124.31,2008,11,740978.7991907935,760577.4212499999,-3.65575681582887,
2008-12-01,2008-12-01,782672.7,2008,12,728208.2364564184,754994.49125,-1.7234720815658355,
2009-01-01,2009-01-01,751103.31,2009,1,743275.5778366269,750998.16,2.0690979071492865,-1.5232063667825813
2009-02-01,2009-02-01,745501.75,2009,2,753739.3906230852,751177.6516666667,1.4077972018015528,-9.555766100618312
2009-03-01,2009-03-01,746479.71,2009,3,753060.3654668351,754195.8591666666,-0.09008752424213284,-9.055250304449004
2009-04-01,2009-04-01,754362.45,2009,4,764033.5695032935,755842.0320833334,1.4571479976450474,-8.324489360006382
2009-05-01,2009-05-01,750512.95,2009,5,763672.1216126685,757854.72375,-0.04730785466140475,-8.660301486589994
2009-06-01,2009-06-01,747515.73,2009,6,770502.5964303768,761401.1545833333,0.8944250581367497,-7.4010804129297725
2009-07-01,2009-07-01,760794.36,2009,7,756415.1550716145,765195.3958333333,-1.828344436998297,-4.341305230654779
2009-08-01,2009-08-01,765221.93,2009,8,768314.930267693,769122.2533333332,1.573180430917187,5.294989286011442
2009-09-01,2009-09-01,788265.66,2009,9,755954.8138706342,773104.0316666665,-1.6087304710781014,4.680520921248954
2009-10-01,2009-10-01,759403.31,2009,10,774802.6136699602,777338.3716666667,2.4932442327897375,0.7421150411742072
2009-11-01,2009-11-01,763721.34,2009,11,783575.8291907934,781405.5854166668,1.1323162010615562,5.748751522515794
2009-12-01,2009-12-01,825190.01,2009,12,770725.5464564185,785336.4083333334,-1.6399539464668766,5.838619761690178
2010-01-01,2010-01-01,799647.79,2010,1,791820.0578366269,789118.8774999998,2.736967974812199,6.531154991166699
2010-02-01,2010-02-01,791201.85,2010,2,799439.4906230852,792589.09125,0.9622682213021649,6.063116850271233
2010-03-01,2010-03-01,796342.29,2010,3,802922.9454668352,796926.6212499999,0.43573714891604887,6.621325764381369
2010-04-01,2010-04-01,806124.03,2010,4,815795.1495032936,801836.5941666666,1.6031680386184854,6.774778238297929
2010-05-01,2010-05-01,796364.5,2010,5,809523.6716126685,806363.9516666665,-0.7687564573586214,6.004088495881454
2010-06-01,2010-06-01,796003.93,2010,6,818990.7964303768,814950.0070833332,1.1694685590661669,6.293061207663486
2010-07-01,2010-07-01,803085.42,2010,7,798706.2150716146,826721.10125,-2.476777693616805,5.5909852832068285
2010-08-01,2010-08-01,806216.0,2010,8,809309.000267693,837396.4320833334,1.3274950158147503,5.335581593568284
2010-09-01,2010-09-01,851372.31,2010,9,819061.4638706342,847912.6425,1.2050358515369952,8.347939432633789
2010-10-01,2010-10-01,814136.01,2010,10,829535.3136699601,857993.7191666667,1.2787623714867191,7.064083036678315
2010-11-01,2010-11-01,817645.22,2010,11,837499.7091907935,867985.3645833333,0.9601032517347452,6.881769190824549
2010-12-01,2010-12-01,977331.46,2010,12,922866.9964564184,878446.0920833333,10.193112466642917,19.74002946956981
2011-01-01,2011-01-01,930012.6,2011,1,922184.8678366268,889444.4033333331,-0.07391407672078243,16.46394388596022
2011-02-01,2011-02-01,917044.98,2011,2,925282.6206230852,900943.5049999999,0.3359145106908379,15.741420267082074
2011-03-01,2011-03-01,922888.21,2011,3,929468.8654668351,912534.9379166666,0.4524287769428703,15.76065557902615
2011-04-01,2011-04-01,921523.95,2011,4,931195.0695032935,923510.3604166666,0.1857194039083243,14.145698227093217
2011-05-01,2011-05-01,920764.07,2011,5,933923.2416126685,933856.1325,0.29297536023578097,15.3670083238185
2011-06-01,2011-06-01,922661.82,2011,6,945648.6864303767,940700.0779166664,1.255504124456852,15.465117624281778
2011-07-01,2011-07-01,940387.0,2011,7,936007.7950716146,940185.2820833331,-1.0195003173064654,17.190498509854347
2011-08-01,2011-08-01,944892.86,2011,8,947985.860267693,936018.6254166665,1.2796971626888975,17.13521781595537
2011-09-01,2011-09-01,990889.84,2011,9,958578.9938706341,932041.2666666667,1.11743582335182,17.033829102480613
2011-10-01,2011-10-01,938028.62,2011,10,953427.9236699601,928492.56625,-0.5373652284904051,14.935182138525827
2011-11-01,2011-11-01,942051.14,2011,11,961905.6291907935,925218.5970833333,0.8891815847180906,14.854443366936
2011-12-01,2011-12-01,1017180.23,2011,12,962715.7664564184,921946.0120833331,0.08422211504328647,4.317932069627517
2012-01-01,2012-01-01,877808.73,2012,1,869980.9978366268,924719.3874999998,-9.632621782141515,-5.660889895370569
2012-02-01,2012-02-01,869249.09,2012,2,877486.7306230852,932938.8304166663,0.8627467502305031,-5.165544984278892
2012-03-01,2012-03-01,875227.49,2012,3,881808.1454668351,940943.1699999998,0.49247637519047593,-5.127737116408082
2012-04-01,2012-04-01,884015.86,2012,4,893686.9795032935,949226.8337499998,1.3470996040946925,-4.027951954256704
2012-05-01,2012-05-01,879696.9,2012,5,892856.0716126686,953533.4204166667,-0.09297527094853653,-4.397274654937
2012-06-01,2012-06-01,885186.95,2012,6,908173.8164303767,953495.2575,1.7155894779369518,-3.9628744308269126
2012-07-01,2012-07-01,1044422.88,2012,7,1040043.6750716146,962022.01,14.520332590027651,11.11485187920258
2012-08-01,2012-08-01,1038123.61,2012,8,1041216.610267693,979188.0545833333,0.11277749427183181,9.83461398608556
2012-09-01,2012-09-01,1089763.24,2012,9,1057452.3938706343,995971.6679166666,1.5593089317665676,10.31458029356147
2012-10-01,2012-10-01,1037963.15,2012,10,1053362.4536699601,1012713.0433333333,-0.3867729861297575,10.481603015708775
2012-11-01,2012-11-01,945474.69,2012,11,965329.1791907934,1029488.1637499998,-8.357358302686313,0.35591329295785457
2012-12-01,2012-12-01,1012840.77,2012,12,958376.3064564185,1045671.292083333,-0.7202592529320762,-0.4507519406244609
2013-01-01,2013-01-01,1086790.25,2013,1,1078962.5178366269,1055816.8287499999,12.582344802124123,24.021389032596385
2013-02-01,2013-02-01,1072252.64,2013,2,1080490.280623085,1060660.8170833332,0.14159553841790462,23.134657529903755
2013-03-01,2013-03-01,1075030.66,2013,3,1081611.3154668352,1061096.8179166666,0.10375242275233454,22.658349327701323
2013-04-01,2013-04-01,1086005.7,2013,4,1095676.8195032934,1057371.2562499999,1.3004213098849915,22.60185553025118
2013-05-01,2013-05-01,1080309.95,2013,5,1093469.1216126685,1057923.9474999998,-0.20149170369651026,22.46868855779347
2013-06-01,2013-06-01,1072968.98,2013,6,1095955.8464303769,1061909.4179166665,0.227416098777522,20.67688217857755
2013-07-01,2013-07-01,1100133.73,2013,7,1095754.5250716144,1060925.934583333,-0.018369477148028057,5.356587548706915
2013-08-01,2013-08-01,1098668.48,2013,8,1101761.480267693,1055516.4291666667,0.548202636506212,5.8148198370014725
2013-09-01,2013-09-01,1039682.39,2013,9,1007371.5438706342,1049759.8058333332,-8.567184285125407,-4.735990980803139
2013-10-01,2013-10-01,998630.52,2013,10,1014029.8236699601,1043112.7479166667,0.6609557158764767,-3.734007213088275
2013-11-01,2013-11-01,998071.91,2013,11,1017926.3991907935,1036078.6566666667,0.3842663627713572,5.448630491423745
2013-12-01,2013-12-01,1055894.84,2013,12,1001430.3764564185,1029327.4974999999,-1.6205516182200008,4.492397162779604
2014-01-01,2014-01-01,1020132.58,2014,1,1012304.8478366268,1021030.7020833334,1.0858939009507296,-6.177941207230441
2014-02-01,2014-02-01,1009082.18,2014,2,1017319.8206230853,1010892.0654166668,0.4954014393170114,-5.846462585815337
2014-03-01,2014-03-01,1000042.16,2014,3,1006622.8154668352,1004843.5083333335,-1.051488916209109,-6.933035826056811
2014-04-01,2014-04-01,1001464.81,2014,4,1011135.9295032936,1002401.0654166669,0.44834211654196654,-7.71586005062378
2014-05-01,2014-05-01,996032.65,2014,5,1009191.8216126686,999900.3508333336,-0.19226968737823258,-7.707332409689471
2014-06-01,2014-06-01,995218.46,2014,6,1018205.3264303767,998129.7191666669,0.8931408900346272,-7.094311349607773
2014-07-01,2014-07-01,978761.16,2014,7,974381.9550716146,996524.5841666667,-4.3039817432892535,-11.07662046771537
2014-08-01,2014-08-01,976713.77,2014,8,979806.770267693,994798.3008333332,0.5567442179981397,-11.069066416296291
2014-09-01,2014-09-01,1016471.73,2014,9,984160.8838706341,993474.3879166665,0.44438492721903256,-2.3040813631500345
2014-10-01,2014-10-01,963222.55,2014,10,978621.8536699602,992478.354583333,-0.5628175526433576,-3.4918075557040296
2014-11-01,2014-11-01,973462.73,2014,11,993317.2191907935,991280.8420833331,1.50163880621752,-2.4175795047228665
2014-12-01,2014-12-01,1038008.86,2014,12,983544.3964564184,989871.6008333332,-0.9838571752875169,-1.7860432857339514
2015-01-01,2015-01-01,999495.32,2015,1,991667.5878366268,991210.7708333334,0.8259099853016538,-2.0386408347350504
2015-02-01,2015-02-01,988288.64,2015,2,996526.2806230852,994941.8595833334,0.48995175863899565,-2.0439530989639465
2015-03-01,2015-03-01,989061.79,2015,3,995642.4454668352,998381.8395833332,-0.08869160537315901,-1.090812748458092
2015-04-01,2015-04-01,988540.38,2015,4,998211.4995032935,1002267.0516666666,0.25802978249422903,-1.2782089551845899
2015-05-01,2015-05-01,980216.78,2015,5,993375.9516126686,1006169.6883333332,-0.4844211765774209,-1.56718174496564
2015-06-01,2015-06-01,977212.54,2015,6,1000199.4064303768,1010157.5416666665,0.6868955108718877,-1.7683977418508579
2015-07-01,2015-07-01,1028907.16,2015,7,1024527.9550716146,1013060.2812499999,2.432369833937842,5.146441776655686
2015-08-01,2015-08-01,1016113.9,2015,8,1019206.900267693,1014510.4687499999,-0.51936648264026,4.021214304248533
2015-09-01,2015-09-01,1059631.12,2015,9,1027320.2738706343,1016172.2383333333,0.7960477505411623,4.385399857618544
2015-10-01,2015-10-01,1013308.25,2015,10,1028707.5536699601,1017878.3808333332,0.13503868604665126,5.117982989259029
2015-11-01,2015-11-01,1017040.31,2015,11,1036894.7991907935,1019393.9904166665,0.7958768740080835,4.387075866408585
2015-12-01,2015-12-01,1090139.76,2015,12,1035675.2964564185,1020870.5791666666,-0.11761103781471327,5.300309796672198
2016-01-01,2016-01-01,1017030.17,2016,1,1009202.4378366269,1022239.6158333332,-2.5560963663388447,1.7682185255498029
2016-02-01,2016-02-01,1005558.29,2016,2,1013795.9306230852,1023901.3804166666,0.4551606906841421,1.7329849032382771
2016-03-01,2016-03-01,1011674.61,2016,3,1018255.2654668351,1025923.3287499999,0.4398651354823535,2.271178785411987
2016-04-01,2016-04-01,1006874.98,2016,4,1016546.0995032935,1027961.8241666666,-0.1678524061211717,1.836745019379471
2016-05-01,2016-05-01,998256.81,2016,5,1011415.9816126686,1030358.8220833333,-0.5046616078829724,1.8160324870672984
2016-06-01,2016-06-01,994610.64,2016,6,1017597.5064303768,1032885.7929166667,0.6111753156057498,1.7394631398645055
2016-07-01,2016-07-01,1044365.94,2016,7,1039986.7350716145,1035075.3670833333,2.2002047469413366,1.508868540236108
2016-08-01,2016-08-01,1040537.47,2016,8,1043630.4702676929,1037109.3116666666,0.3503636222655704,2.3963309111805664
2016-09-01,2016-09-01,1083734.31,2016,9,1051423.4638706343,1038988.2949999999,0.7467196316089275,2.3462196369576693
2016-10-01,2016-10-01,1038128.95,2016,10,1053528.2536699602,1041050.765,0.20018478487986435,2.412804291312054
2016-11-01,2016-11-01,1049747.56,2016,11,1069602.0491907937,1043518.4554166667,1.5257109113913536,3.154346036408451
2016-12-01,2016-12-01,1118079.81,2016,12,1063615.3464564185,1046285.1429166667,-0.5597130950622642,2.6977615566961433
2017-01-01,2017-01-01,1041639.9,2017,1,1033812.1678366269,1047497.3229166667,-2.8020636143588074,2.438532555743178
2017-02-01,2017-02-01,1029763.23,2017,2,1038000.8706230852,1047066.3883333335,0.4051705828945318,2.38755545064413
2017-03-01,2017-03-01,1032565.27,2017,3,1039145.9254668351,1047015.9350000002,0.11031347623655652,2.05161325538763
2017-04-01,2017-04-01,1035483.6,2017,4,1045154.7195032935,1047047.8520833333,0.5782435256875829,2.814296372193925
2017-05-01,2017-05-01,1028872.76,2017,5,1042031.9316126686,1046736.4804166666,-0.29878713958341185,3.027038385450842
2017-06-01,2017-06-01,1030395.19,2017,6,1053382.0564303768,1045871.8445833332,1.0892300392505883,3.516572099859827
2017-07-01,2017-07-01,1037673.71,2017,7,1033294.5050716145,1046209.1204166665,-1.9069578066322368,-0.6434918614167895
2017-08-01,2017-08-01,1036887.27,2017,8,1039980.270267693,1048191.0683333332,0.6470338478781645,-0.3497598147995551
2017-09-01,2017-09-01,1086173.63,2017,9,1053862.7838706342,1050357.6591666667,1.3348824011216953,0.23200167048011977
2017-10-01,2017-10-01,1036455.64,2017,10,1051854.9436699601,1052354.1916666667,-0.1905219760488741,-0.15882915281778542
2017-11-01,2017-11-01,1043947.95,2017,11,1063802.4391907935,1054121.1220833333,1.135850108680203,-0.542221287289768
2017-12-01,2017-12-01,1103128.16,2017,12,1048663.6964564184,1055738.3079166666,-1.4230784003363306,-1.4057384607897627
2018-01-01,2018-01-01,1064686.17,2018,1,1056858.4378366268,1057075.7766666666,0.7814460830387837,2.229251184789871
2018-02-01,2018-02-01,1054283.71,2018,2,1062521.3506230852,1059815.8254166667,0.5358251004789594,2.3622793288488264
2018-03-01,2018-03-01,1060042.97,2018,3,1066623.6254668352,1064184.4741666664,0.38608869754424013,2.6442580706512064
2018-04-01,2018-04-01,1055922.68,2018,4,1065593.7995032934,1068836.3445833332,-0.09655007998637943,1.955603282326801
2018-05-01,2018-05-01,1050840.01,2018,5,1063999.1816126686,1073836.79375,-0.1496459430758823,2.1081167796847655
2018-06-01,2018-06-01,1047240.4,2018,6,1070227.2664303768,1084205.5125,0.5853467676796953,1.5991548267951128
2018-07-01,2018-07-01,1052927.75,2018,7,1048548.5450716146,1099088.1870833335,-2.0256184867228466,1.476252890645413
2018-08-01,2018-08-01,1087394.4,2018,8,1090487.400267693,1112897.1666666667,3.9997056305308254,4.856546940741424
2018-09-01,2018-09-01,1140514.07,2018,9,1108203.2238706343,1125342.6191666666,1.624578477348071,5.156310748579451
2018-10-01,2018-10-01,1093760.09,2018,10,1109159.3936699603,1136905.142083333,0.08628108804686896,5.447942260941696
2018-11-01,2018-11-01,1106654.28,2018,11,1126508.7691907936,1148257.1491666667,1.564191370496193,5.894546552055213
2018-12-01,2018-12-01,1289271.08,2018,12,1234806.6164564185,1155181.5583333333,9.613582266511656,17.750487656719983
2019-01-01,2019-01-01,1235727.44,2019,1,1227899.7078366268,1162159.7325,-0.5593514423831603,16.18393380575349
2019-02-01,2019-02-01,1214657.95,2019,2,1222895.5906230852,1171779.4512500002,-0.4075346855777151,15.093742813351763
2019-03-01,2019-03-01,1198359.59,2019,3,1204940.2454668353,1180340.0525,-1.4682647720645758,12.967706386539323
2019-04-01,2019-04-01,1195106.61,2019,4,1204777.7295032935,1188648.3074999999,-0.013487470781492483,13.061630995307794
2019-05-01,2019-05-01,1184104.25,2019,5,1197263.4216126685,1196219.1770833333,-0.6237090632247089,12.524844220088195
2019-06-01,2019-06-01,1080161.98,2019,6,1103148.8464303769,1199414.1458333333,-7.860807695563176,3.076129812110495
2019-07-01,2019-07-01,1187482.35,2019,7,1183103.1450716145,1199961.1895833334,7.247825069115343,12.832462610570893
2019-08-01,2019-08-01,1183713.05,2019,8,1186806.0502676931,1202143.9470833333,0.3129824488679267,8.83262383190817
2019-09-01,2019-09-01,1249649.85,2019,9,1217339.0038706344,1205699.305,2.572699523738886,9.847993368835395
2019-10-01,2019-10-01,1184022.43,2019,10,1199421.7336699602,1210956.3900000001,-1.4718389983155666,8.137905202366081
2019-11-01,2019-11-01,1198092.81,2019,11,1217947.2991907937,1216222.8320833335,1.5445414236533228,8.116983418219025
2019-12-01,2019-12-01,1274511.8,2019,12,1220047.3364564185,1225691.0691666664,0.17242431318826856,-1.195270563285078
2020-01-01,2020-01-01,1263615.77,2020,1,1255788.0378366269,1235222.4633333334,2.929452023067891,2.271222138258766
2020-02-01,2020-02-01,1239155.8,2020,2,1247393.4406230852,1240536.829583333,-0.668472461961267,2.0032658705980033
2020-03-01,2020-03-01,1259190.33,2020,3,1265770.9854668353,1245261.3625,1.473275732039303,5.048444537300023
2020-04-01,2020-04-01,1260445.91,2020,4,1270117.0295032933,1248838.7866666664,0.34335152933333557,5.4233489215423925
2020-05-01,2020-05-01,1245159.56,2020,5,1258318.7316126686,1251572.6983333332,-0.928914235189704,5.099571982058948
2020-06-01,2020-06-01,1246344.36,2020,6,1269331.226430377,1253696.99125,0.875175306624798,15.064366022567244
2020-07-01,2020-07-01,1250053.43,2020,7,1245674.2250716144,1253703.85875,-1.863737444267488,5.288725692315888
2020-08-01,2020-08-01,1248686.76,2020,8,1251779.760267693,1252016.5733333332,0.4901390004860673,5.474669596211168
2020-09-01,2020-09-01,1298064.93,2020,9,1265754.0838706342,1250811.6133333335,1.1163564108076507,3.977123861640841
2020-10-01,2020-10-01,1221465.53,2020,10,1236864.8336699603,1249097.1433333333,-2.2823746388659916,3.1217626752045424
2020-11-01,2020-11-01,1226263.59,2020,11,1246118.0791907937,1247077.8804166669,0.74812099664745,2.312971999586244
2020-12-01,2020-12-01,1297324.05,2020,12,1242859.5864564185,1245826.0929166668,-0.2614914901556631,1.8697840090579954
2021-01-01,2021-01-01,1240968.34,2021,1,1233140.607836627,1245126.3595833334,-0.7819852480280498,-1.8034436797960907
2021-02-01,2021-02-01,1221308.38,2021,2,1229546.020623085,1244169.99375,-0.29149856802201946,-1.4307771244239653
2021-03-01,2021-03-01,1248118.71,2021,3,1254699.3654668352,1242378.4629166666,2.045742446549781,-0.874693773764823
2021-04-01,2021-04-01,1230370.25,2021,4,1240041.3695032934,1240997.55625,-1.1682476589193191,-2.367944000543132
2021-05-01,2021-05-01,1226772.91,2021,5,1239932.0816126685,1240525.5629166667,-0.008813245534600167,-1.4612076843547928
2021-06-01,2021-06-01,1234688.11,2021,6,1257674.976430377,1240968.3991666664,1.4309569919855658,-0.9182985305403513
2021-07-01,2021-07-01,1244916.08,2021,7,1240536.8750716145,1241778.42,-1.3626812713889769,-0.4124152123083813
2021-08-01,2021-08-01,1230871.33,2021,8,1233964.3302676931,1242300.1008333333,-0.5298145452985348,-1.4232080247239431
2021-09-01,2021-09-01,1272883.62,2021,9,1240572.7738706344,1242004.9658333333,0.5355457561328159,-1.9894314638903787
2021-10-01,2021-10-01,1213505.08,2021,10,1228904.3836699603,1240756.4633333334,-0.9405647493188396,-0.6435990241860257
2021-11-01,2021-11-01,1222896.2,2021,11,1242750.6891907935,1240345.1020833333,1.126719515759489,-0.2702304104428732
2021-12-01,2021-12-01,1311319.51,2021,12,1256855.0464564185,1240227.1233333333,1.134930552708746,1.1260692802718797
2022-01-01,2022-01-01,1246413.38,2022,1,1238585.6478366267,1239217.6983333335,-1.4535804006436948,0.44155872942601704
2022-02-01,2022-02-01,1228383.68,2022,2,1236621.3206230851,1238328.2216666667,-0.15859437875552773,0.5754400308184193
2022-03-01,2022-03-01,1233960.17,2022,3,1240540.8254668352,1238255.0041666667,0.31695271449589946,-1.1284408352858377
2022-04-01,2022-04-01,1214564.73,2022,4,1224235.8495032934,1238858.4004166666,-1.3143441657718857,-1.2745961859587762
2022-05-01,2022-05-01,1232705.76,2022,5,1245864.9316126686,1239446.4279166665,1.766741442684494,0.47848185299663726
2022-06-01,2022-06-01,1225923.77,2022,6,1248910.636430377,1234952.8845833333,0.2444650893067557,-0.6968684409127457
2022-07-01,2022-07-01,1229454.22,2022,7,1225075.0150716144,1226416.4387499997,-1.9085129602938733,-1.246384554196145
2022-08-01,2022-08-01,1224985.75,2022,8,1228078.750267693,1218967.0854166667,0.24518785863110182,-0.4769651646837514
2022-09-01,2022-09-01,1277011.98,2022,9,1244701.1338706343,1211587.7874999999,1.3535274997078073,0.33277854285962416
2022-10-01,2022-10-01,1223858.23,2022,10,1239257.5336699602,1204919.4545833333,-0.43734194920720393,0.8424699380664258
2022-11-01,2022-11-01,1226655.71,2022,11,1246510.1991907936,1200683.2337500001,0.5852428025476808,0.30251522149209453
2022-12-01,2022-12-01,1199714.96,2022,12,1145250.4964564184,1198351.7816666667,-8.12345561232557,-8.87966757301555
2023-01-01,2023-01-01,1153143.23,2023,1,1145315.4978366268,1196272.0470833334,0.0056757347331126695,-7.530375486177321
2023-02-01,2023-02-01,1142869.35,2023,2,1151106.9906230853,1194196.1987500002,0.5056678965226657,-6.915158955605949
2023-03-01,2023-03-01,1142371.35,2023,3,1148952.0054668353,1191044.6383333337,-0.18720980532691556,-7.382975079883691
2023-04-01,2023-04-01,1146113.56,2023,4,1155784.6795032935,1186936.9891666668,0.5946875068712609,-5.591338468626983
2023-05-01,2023-05-01,1199487.63,2023,5,1212646.8016126684,1182874.0954166667,4.919785070503946,-2.666270568913276
2023-06-01,2023-06-01,1203187.05,2023,6,1226173.916430377,1183052.4758333336,1.115503277600638,-1.8205241701668817
2023-07-01,2023-07-01,1202277.31,2023,7,1197898.1050716145,1187710.6954166666,-2.306019642065027,-2.2183874183746344
2023-08-01,2023-08-01,1202342.3,2023,8,1205435.3002676931,1192018.34875,0.6292016962184066,-1.8438109115611834
2023-09-01,2023-09-01,1224017.98,2023,9,1191707.1338706343,1196304.7454166666,-1.1388555150168789,-4.257568227258302
2023-10-01,2023-10-01,1178268.65,2023,10,1193667.9536699601,1200607.6937499996,0.16453873133721597,-3.678781751278948
2023-11-01,2023-11-01,1174735.84,2023,11,1194590.3291907937,1202500.9341666666,0.07727237025989542,-4.165218225547218
2023-12-01,2023-12-01,1255915.96,2023,12,1201451.4964564184,1202225.407083333,0.5743531567238058,4.907310686517463
2024-01-01,2024-01-01,1208739.5,2024,1,1200911.7678366269,1203458.5325,-0.04492304694642124,4.854231878029691
2024-02-01,2024-02-01,1190656.76,2024,2,1198894.4006230852,1206020.33375,-0.16798629737602155,4.151430786996868
2024-03-01,2024-03-01,1197457.46,2024,3,1204038.1154668352,1209675.1583333332,0.4290381906093321,4.794465716400187
2024-04-01,2024-04-01,1194298.21,2024,4,1203969.3295032934,1214272.2808333333,-0.005712939038904352,4.168998850262273
2024-05-01,2024-05-01,1196740.75,2024,5,1209899.9216126685,1219110.6262500002,0.49258664353366566,-0.2265193786308517
2024-06-01,2024-06-01,1199321.28,2024,6,1222308.146430377,1229537.7437500001,1.0255579487243427,-0.31527093736050116
2024-07-01,2024-07-01,1235738.09,2024,7,1231358.8850716145,1244818.67625,0.7404629239909255,2.793291003494791
2024-08-01,2024-08-01,1230364.75,2024,8,1233457.750267693,1259842.6445833333,0.17045113504472464,2.324674745610733
2024-09-01,2024-09-01,1283711.32,2024,9,1251400.4738706343,1275064.6483333334,1.4546686823320165,5.009061228501466
2024-10-01,2024-10-01,1228906.25,2024,10,1244305.5536699602,,-0.5669584077053424,4.242184758693868
2024-11-01,2024-11-01,1240218.53,2024,11,1260073.0191907936,,1.267169906485499,5.48160221959586
2024-12-01,2024-12-01,1440684.09,2024,12,1386219.6264564185,,10.01105533920843,15.378742341655771
2025-01-01,2025-01-01,1390713.75,2025,1,1382886.0178366269,,-0.24048199550552596,15.153007479293512
2025-02-01,2025-02-01,1369257.75,2025,2,1377495.3906230852,,-0.3898099441322467,14.897141058226481
2025-03-01,2025-03-01,1384184.56,2025,3,1390765.2154668353,,0.9633298909078603,15.508404393626819
