date,Wage_Date,year,month,Count_Workers,Count_Workers_sa,Count_Workers_trend,Monthly_Emp_Growth,Annual_Emp_Growth,Annual_Emp_Growth_cycle
2008-01-01,2008-01-01,2008,1,340166,338453.54106668715,,,,
2008-02-01,2008-02-01,2008,2,354984,353716.46294168715,,4.5096062008677995,,
2008-03-01,2008-03-01,2008,3,367404,361082.55408752046,,2.0824846784266438,,
2008-04-01,2008-04-01,2008,4,366631,363330.0957541871,,0.622445377441827,,
2008-05-01,2008-05-01,2008,5,366165,368306.5619000204,,1.3696817863390498,,
2008-06-01,2008-06-01,2008,6,369359,373502.2494000204,,1.4106964245210518,,
2008-07-01,2008-07-01,2008,7,397086,402091.82966962823,383244.62499999994,7.654459997371643,,
2008-08-01,2008-08-01,2008,8,390930,396188.93506178516,387883.6666666666,-1.4680463944500177,,
2008-09-01,2008-09-01,2008,9,394180,400157.71202256944,391634.12499999994,1.001738466059221,,
2008-10-01,2008-10-01,2008,10,408345,409136.5723166871,394881.0416666666,2.2438303759621636,,
2008-11-01,2008-11-01,2008,11,406801,403455.5749208538,397972.8333333333,-1.388533262540026,,
2008-12-01,2008-12-01,2008,12,406194,398822.9108583538,400911.6666666667,-1.1482463870796211,,
2009-01-01,2009-01-01,2009,1,401547,399834.54106668715,402719.0833333334,0.2536539854633979,18.13572397752099,7.437140105092954
2009-02-01,2009-02-01,2009,2,404940,403672.46294168715,403886.0833333333,0.9598775195262199,14.123176395167004,3.5182227739396907
2009-03-01,2009-03-01,2009,3,407459,401137.55408752046,405438.5,-0.6279617974666918,11.093031094017158,0.5816503386502507
2009-04-01,2009-04-01,2009,4,404502,401201.0957541871,406656.4583333333,0.015840368476882638,10.423303888820111,0.005354081852315673
2009-05-01,2009-05-01,2009,5,402497,404638.5619000204,407950.5833333333,0.856793807945988,9.864608388341068,-0.4601414078526176
2009-06-01,2009-06-01,2009,6,403559,407702.2494000204,409796.625,0.7571417527815871,9.1565713606645,-1.0752984238561485
2009-07-01,2009-07-01,2009,7,406264,411269.82966962823,412061.9583333333,0.8750455203173191,2.282563166613194,-7.856832116337738
2009-08-01,2009-08-01,2009,8,409760,415018.93506178516,414576.1666666666,0.9115926143107966,4.752782910775499,-5.29462059465555
2009-09-01,2009-09-01,2009,9,412608,418585.71202256944,417060.5416666666,0.859425115206669,4.605184267687101,-5.350726774515805
2009-10-01,2009-10-01,2009,10,419148,419939.5723166871,419922.8333333332,0.3234368147866151,2.6404386043587635,-7.224455025595679
2009-11-01,2009-11-01,2009,11,427057,423711.5749208538,423245.95833333326,0.898225090661886,5.020627117117815,-4.753658601783753
2009-12-01,2009-12-01,2009,12,430243,422871.9108583538,426744.91666666657,-0.19816878088753098,6.029994602928235,-3.653971412080213
2010-01-01,2010-01-01,2010,1,431866,430153.54106668715,430339.5833333333,1.7219470060219733,7.582886640837572,-2.0108899039371604
2010-02-01,2010-02-01,2010,2,434962,433694.46294168715,433998.5416666666,0.8231762700870116,7.437217733709245,-2.0663134067669695
2010-03-01,2010-03-01,2010,3,437062,430740.55408752046,437669.62499999994,-0.6811036585827601,7.379762801650136,-2.0332653166127486
2010-04-01,2010-04-01,2010,4,443594,440293.0957541871,441267.91666666657,2.2177019498205164,9.743742081888861,0.4216922313804172
2010-05-01,2010-05-01,2010,5,443160,445301.5619000204,444876.54166666657,1.1375300212814299,10.04921523274076,0.8188522119297534
2010-06-01,2010-06-01,2010,6,446871,451014.2494000204,449339.74999999994,1.2828806338843757,10.623439057238082,1.4857014906713175
2010-07-01,2010-07-01,2010,7,449224,454229.82966962823,454357.83333333326,0.7129664470436392,10.445696936852777,1.401747193376762
2010-08-01,2010-08-01,2010,8,454615,459873.93506178516,459130.45833333326,1.242565992696254,10.807940604763555,1.8591533337784316
2010-09-01,2010-09-01,2010,9,455859,461836.71202256944,464184.8333333333,0.42680761207321005,10.332650818637589,1.4806021341465634
2010-10-01,2010-10-01,2010,10,462256,463047.5723166871,469335.0833333333,0.2621836381986098,10.265286446377386,1.5117395816677952
2010-11-01,2010-11-01,2010,11,470556,467210.5749208538,474357.9583333333,0.8990442565844026,10.266181660986074,1.6130755442302025
2010-12-01,2010-12-01,2010,12,493861,486489.9108583538,479324.1666666667,4.126476790634714,15.044271886223637,6.493709475821452
2011-01-01,2011-01-01,2011,1,488682,486969.54106668715,484195.6666666667,0.09858995996179232,13.2083069359626,4.7625427739712
2011-02-01,2011-02-01,2011,2,492689,491421.46294168715,489061.625,0.9142095140587836,13.310522714181339,4.971912820531953
2011-03-01,2011-03-01,2011,3,500640,494318.55408752046,494016.3333333333,0.5895328886311058,14.760161168173136,6.531126292655895
2011-04-01,2011-04-01,2011,4,503622,500321.0957541871,499036.3333333333,1.214306365203499,13.633645537224881,5.516632795963963
2011-05-01,2011-05-01,2011,5,503681,505822.5619000204,504111.625,1.0995870836788102,13.591014534457946,5.588447015418579
2011-06-01,2011-06-01,2011,6,505539,509682.2494000204,508614.7916666666,0.7630516688504008,13.008014730808481,5.1222489271858676
2011-07-01,2011-07-01,2011,7,507472,512477.82966962823,511699.95833333326,0.5484947284114083,12.823464289512888,5.0567469789990565
2011-08-01,2011-08-01,2011,8,513150,518408.93506178516,513991.83333333326,1.1573389225403963,12.728488295849093,5.0829170171072295
2011-09-01,2011-09-01,2011,9,516237,522214.71202256944,516241.20833333326,0.7341264209365317,13.073451812780391,5.55093584733543
2011-10-01,2011-10-01,2011,10,522358,523149.5723166871,518436.7083333332,0.17901837550629018,12.979659886629346,5.581881038829263
2011-11-01,2011-11-01,2011,11,532261,528915.5749208537,520622.74999999994,1.1021709486701337,13.20710688332618,5.93547664904687
2011-12-01,2011-12-01,2011,12,540232,532860.9108583538,522833.2916666665,0.7459292417491215,9.531749572809002,2.3873660693845373
2012-01-01,2012-01-01,2012,1,516355,514642.54106668715,524642.3333333333,-3.418972835203804,5.6826962810411885,-1.3337015511671177
2012-02-01,2012-02-01,2012,2,520021,518753.46294168715,526147.0,0.7987916946157192,5.561824637529766,-1.3262261811083125
2012-03-01,2012-03-01,2012,3,527293,520971.55408752046,527575.5416666666,0.42758098100303954,5.391867203770984,-1.3678425660430156
2012-04-01,2012-04-01,2012,4,529661,526360.0957541871,528781.7916666667,1.0343255067168933,5.204457741432766,-1.4272740181768073
2012-05-01,2012-05-01,2012,5,530107,532248.5619000205,529063.2083333334,1.118714392168374,5.224361661673638,-1.2801016458838879
2012-06-01,2012-06-01,2012,6,532166,536309.2494000205,528183.0,0.7629306663608837,5.224235301767788,-1.1540046185059856
2012-07-01,2012-07-01,2012,7,524262,529267.8296696283,528728.5,-1.312940199757795,3.276239288404703,-2.9771479386420197
2012-08-01,2012-08-01,2012,8,532472,537730.9350617852,530789.0,1.599021311656057,3.727173413339635,-2.403048539468525
2012-09-01,2012-09-01,2012,9,531200,537177.7120225694,532902.0833333334,-0.1028810141176284,2.8652965256469543,-3.1437413250224022
2012-10-01,2012-10-01,2012,10,536345,537136.5723166871,535179.75,-0.007658490842332721,2.673613960546839,-3.216496171153545
2012-11-01,2012-11-01,2012,11,525028,521682.5749208538,537239.625,-2.8771076467907886,-1.367515033203981,-7.141204782911983
2012-12-01,2012-12-01,2012,12,526340,518968.9108583538,539094.6666666667,-0.5201753313136215,-2.607059312649196,-8.267062152504876
2013-01-01,2013-01-01,2013,1,543339,541626.5410666871,540939.3333333334,4.365893550513178,5.2432509648485,-0.3059694705696243
2013-02-01,2013-02-01,2013,2,542489,541221.4629416871,543004.9583333334,-0.07478919408236973,4.331151810070044,-1.110297970540186
2013-03-01,2013-03-01,2013,3,555539,549217.5540875205,544240.875,1.4774157518388842,5.42179314367226,0.08499738490090536
2013-04-01,2013-04-01,2013,4,556079,552778.0957541871,544447.4166666666,0.6482934932009243,5.018997491089694,-0.2163571950371912
2013-05-01,2013-05-01,2013,5,553126,555267.5619000205,545400.9583333334,0.45035542561375763,4.3248590316198765,-0.8123645031263553
2013-06-01,2013-06-01,2013,6,553668,557811.2494000205,547100.2083333333,0.4581012244432081,4.009253993671513,-1.0332436136044807
2013-07-01,2013-07-01,2013,7,547032,552037.8296696283,547791.6666666667,-1.0350131404847085,4.302169662231914,-0.6490962758862322
2013-08-01,2013-08-01,2013,8,559277,564535.9350617852,547539.7083333334,2.2639943714793054,4.984835026632806,0.12122543751689108
2013-09-01,2013-09-01,2013,9,534057,540034.7120225694,547172.8333333334,-4.340064381647246,0.5318537861972894,-4.247750827456321
2013-10-01,2013-10-01,2013,10,538445,539236.5723166871,546659.625,-0.14779414880444763,0.3909620212495746,-4.30836597924743
2013-11-01,2013-11-01,2013,11,545813,542467.5749208537,546228.9166666665,0.5991809105761359,3.9842235488032784,-0.6386004137534407
2013-12-01,2013-12-01,2013,12,546337,538965.9108583538,545806.1666666666,-0.6455066117105335,3.8532173279755444,-0.6968861412031808
2014-01-01,2014-01-01,2014,1,539937,538224.5410666871,546765.9166666666,-0.13755411552579533,-0.6281080674702677,-5.109280629706928
2014-02-01,2014-02-01,2014,2,539844,538576.4629416871,548762.0416666666,0.06538569837462038,-0.48870936965871303,-4.904741276055001
2014-03-01,2014-03-01,2014,3,549379,543057.5540875205,551356.0833333333,0.8320250612805946,-1.1215956143707628,-5.476238357232479
2014-04-01,2014-04-01,2014,4,549922,546621.0957541871,555080.75,0.6561996311154061,-1.113828505016945,-5.410756972628109
2014-05-01,2014-05-01,2014,5,548946,551087.5619000205,558869.6249999999,0.8171046050959418,-0.7527902378624107,-4.995560459559657
2014-06-01,2014-06-01,2014,6,547702,551845.2494000205,562681.625,0.13748949393590504,-1.069537411878485,-5.261544808383071
2014-07-01,2014-07-01,2014,7,576032,581037.8296696283,566599.4166666666,5.289993943292393,5.253263171720546,1.1088223342939445
2014-08-01,2014-08-01,2014,8,578184,583442.9350617852,570678.75,0.41393266829534703,3.349122496149115,-0.7507082953680264
2014-09-01,2014-09-01,2014,9,577407,583384.7120225694,574684.4166666666,-0.009979217455025058,8.027261773163264,3.969315711605322
2014-10-01,2014-10-01,2014,10,584487,585278.5723166871,578541.2916666666,0.3246331717455808,8.538367455714791,4.519817797886329
2014-11-01,2014-11-01,2014,11,590704,587358.5749208537,582476.0416666667,0.3553867683782519,8.275333324125334,4.293898106081129
2014-12-01,2014-12-01,2014,12,592934,585562.9108583538,586546.625,-0.30571854045747804,8.645630282217653,4.699199027159647
2015-01-01,2015-01-01,2015,1,587367,585654.5410666871,588331.4166666667,0.01564822611441752,8.812307202863746,4.89890778921122
2015-02-01,2015-02-01,2015,2,590318,589050.4629416871,587750.875,0.579850686176675,9.371742635077783,5.489505037215605
2015-03-01,2015-03-01,2015,3,595041,588719.5540875205,587191.0416666667,-0.05617665632823288,8.40831688212571,4.555435370189909
2015-04-01,2015-04-01,2015,4,596825,593524.0957541871,586483.0416666666,0.8161002353851421,8.580532358577697,4.755223141163513
2015-05-01,2015-05-01,2015,5,596477,598618.5619000205,585644.875,0.8583419244942103,8.624945160461305,4.825411234658912
2015-06-01,2015-06-01,2015,6,597865,602008.2494000205,584904.4583333334,0.566251652678651,9.090048352239766,5.314442812097687
2015-07-01,2015-07-01,2015,7,568704,573709.8296696283,585440.2083333333,-4.700669759691034,-1.261191548262286,-5.014802744848553
2015-08-01,2015-08-01,2015,8,571579,576837.9350617852,587152.4583333334,0.5452417285508604,-1.1320730105850996,-4.865752048376267
2015-09-01,2015-09-01,2015,9,570576,576553.7120225694,588844.3333333333,-0.049272598409344504,-1.1709254389470014,-4.886823950894369
2015-10-01,2015-10-01,2015,10,574326,575117.5723166871,590516.125,-0.2490903580941728,-1.7360963617342184,-5.43641788459658
2015-11-01,2015-11-01,2015,11,580749,577403.5749208537,592111.6666666667,0.39748439522691026,-1.6948760816748787,-5.381838349043598
2015-12-01,2015-12-01,2015,12,585119,577747.9108583538,593623.125,0.05963522784688813,-1.3346132166301872,-5.010406211260328
2016-01-01,2016-01-01,2016,1,608040,606327.5410666871,595066.0833333334,4.9467301691966,3.529896645614161,-0.1368477816656979
2016-02-01,2016-02-01,2016,2,610739,609471.4629416871,596455.9583333334,0.518518731553752,3.4667658010179014,-0.19294282639145166
2016-03-01,2016-03-01,2016,3,615225,608903.5540875205,597798.1666666667,-0.09318054883580285,3.428457549925268,-0.22611905126059106
2016-04-01,2016-04-01,2016,4,616764,613463.0957541871,599153.5416666666,0.7488118004992383,3.359425530089677,-0.29181233593056
2016-05-01,2016-05-01,2016,5,614831,616972.5619000205,600549.4583333334,0.5720745339242939,3.066059285188927,-0.5835209093886551
2016-06-01,2016-06-01,2016,6,615786,619929.2494000205,601845.4166666666,0.47922511997853245,2.9768695060010675,-0.672619601883528
2016-07-01,2016-07-01,2016,7,585414,590419.8296696283,602970.3333333334,-4.760127024003458,2.912622223959893,-0.7382234005319321
2016-08-01,2016-08-01,2016,8,588226,593484.9350617852,604006.5416666666,0.519139981099892,2.8859058997596776,-0.7676196732240785
2016-09-01,2016-09-01,2016,9,586142,592119.7120225694,605005.3333333333,-0.23003499475073852,2.6998351888836147,-0.9575638968930438
2016-10-01,2016-10-01,2016,10,591289,592080.5723166871,605970.5416666666,-0.0066101001347518284,2.9494838649547273,-0.7128465073407728
2016-11-01,2016-11-01,2016,11,597288,593942.5749208537,606982.0833333334,0.3144846649639321,2.864374368008904,-0.8038018853460267
2016-12-01,2016-12-01,2016,12,599683,592311.9108583538,608061.9166666666,-0.27454911153947936,2.5208226159333824,-1.1539654334773681
2017-01-01,2017-01-01,2017,1,620474,618761.5410666871,610446.8749999999,4.465490178984166,2.0507067810453306,-1.6313040976983881
2017-02-01,2017-02-01,2017,2,623174,621906.4629416871,614144.5,0.5082607218248381,2.040292410079547,-1.6493885455007744
2017-03-01,2017-03-01,2017,3,626761,620439.5540875205,617975.0833333333,-0.2358729071937904,1.8945529094976932,-1.8030689974263767
2017-04-01,2017-04-01,2017,4,628393,625092.0957541871,621947.1666666666,0.7498783138526921,1.8956315515122224,-1.8100130815027828
2017-05-01,2017-05-01,2017,5,627479,629620.5619000205,625958.6250000001,0.7244478336219773,2.050010127038604,-1.66353599448514
2017-06-01,2017-06-01,2017,6,629054,633197.2494000205,630177.2916666666,0.5680703135244825,2.1402442315540116,-1.5808651624165702
2017-07-01,2017-07-01,2017,7,629385,634390.8296696283,633607.5833333333,0.1885005455628308,7.447412466584025,3.719307830634093
2017-08-01,2017-08-01,2017,8,632998,638256.9350617852,635942.2916666667,0.6094201257874854,7.5439151619474565,3.809625326924911
2017-09-01,2017-09-01,2017,9,633304,639281.7120225694,638239.8749999999,0.16055868796553963,7.964943413031045,4.225491735918977
2017-10-01,2017-10-01,2017,10,639457,640248.5723166871,640626.3333333333,0.15124166325026778,8.135379246025366,4.391973002626071
2017-11-01,2017-11-01,2017,11,645395,642049.5749208537,643053.75,0.2812974026087822,8.099604579855303,4.353602360687384
2017-12-01,2017-12-01,2017,12,652824,645452.9108583538,645496.8333333334,0.5300736999817479,8.971793243696592,5.224671065314385
2018-01-01,2018-01-01,2018,1,649660,647947.5410666871,648094.875,0.38649298289099576,4.716841313325015,0.9701590257077783
2018-02-01,2018-02-01,2018,2,650021,648753.4629416871,649442.9583333333,0.12438072898204311,4.316887120453883,0.5722480931858502
2018-03-01,2018-03-01,2018,3,655056,648734.5540875205,649523.8333333334,-0.002914644043805481,4.560476490189824,0.8195201266652519
2018-04-01,2018-04-01,2018,4,657373,654072.0957541871,649810.9999999998,0.8227620423540083,4.636116853315042,0.9005141752436625
2018-05-01,2018-05-01,2018,5,656757,658898.5619000205,650188.4583333333,0.737910419533816,4.650102263440559,0.9215495873898139
2018-06-01,2018-06-01,2018,6,658410,662553.2494000205,651644.2916666667,0.5546661825245547,4.636154062231945,0.9163660512151419
2018-07-01,2018-07-01,2018,7,662382,667387.8296696283,653986.2083333334,0.7296893153849515,5.2013677463124575,1.4920702990666435
2018-08-01,2018-08-01,2018,8,632355,637613.9350617852,656111.375,-4.461258249582089,-0.10074312783421302,-3.797819947573954
2018-09-01,2018-09-01,2018,9,635888,641865.7120225694,659381.9583333333,0.6668262293188842,0.4042036478448141,-3.2789298285438435
2018-10-01,2018-10-01,2018,10,643765,644556.5723166871,663830.8749999999,0.41922480726359623,0.6728636636254892,-2.994581797290885
2018-11-01,2018-11-01,2018,11,650146,646800.5749208537,668158.7083333334,0.34814672606644503,0.7399740122226106,-2.9099915044396125
2018-12-01,2018-12-01,2018,12,683013,675641.9108583538,671391.75,4.45907704102293,4.677180858918617,1.0465575782941117
2019-01-01,2019-01-01,2019,1,675677,673964.5410666871,674646.0833333334,-0.24826313535460942,4.015294194522201,0.40596825835883
2019-02-01,2019-02-01,2019,2,675008,673740.4629416871,680274.4166666667,-0.03324776176583111,3.8515401346298495,0.26555139270092454
2019-03-01,2019-03-01,2019,3,708563,702241.5540875205,686993.2500000001,4.230277490146861,8.247903501187848,4.687373412145444
2019-04-01,2019-04-01,2019,4,710640,707339.0957541871,693255.2083333334,0.7258957600836169,8.143903454340107,4.611033036707404
2019-05-01,2019-05-01,2019,5,707358,709499.5619000205,699184.5416666666,0.3054357038656086,7.67963430578531,4.17666796995187
2019-06-01,2019-06-01,2019,6,685402,689545.2494000205,703920.4166666666,-2.8124488825000626,4.073936702362069,0.6031266716252199
2019-07-01,2019-07-01,2019,7,713494,718499.8296696283,706044.1666666665,4.199083424155492,7.65851544300733,4.222089526195854
2019-08-01,2019-08-01,2019,8,716323,721581.9350617852,706632.2499999999,0.4289639697721448,13.169097377375149,9.7692543150941
2019-09-01,2019-09-01,2019,9,713172,719149.7120225694,705724.9999999999,-0.33706817216918594,12.040524762799997,8.679401649579416
2019-10-01,2019-10-01,2019,10,716768,717559.5723166871,701131.625,-0.22111386256556953,11.326081082008077,8.005677986254273
2019-11-01,2019-11-01,2019,11,719447,716101.5749208537,694890.0000000001,-0.20318834171860756,10.714430797851415,7.436543791155215
2019-12-01,2019-12-01,2019,12,727373,720001.9108583538,690011.3333333334,0.5446623878646362,6.565608096105802,3.331767481035872
2020-01-01,2020-01-01,2020,1,682287,680574.5410666871,684917.25,-5.4760090490125535,0.9807637638529654,-2.207823306783315
2020-02-01,2020-02-01,2020,2,682512,681244.4629416871,678636.1666666665,0.09843475395803214,1.1137819995604925,-2.0286932316784654
2020-03-01,2020-03-01,2020,3,679285,672963.5540875205,672565.0416666666,-1.2155561336100629,-4.169220666248286,-7.26505758529629
2020-04-01,2020-04-01,2020,4,629677,626376.0957541871,667668.5833333333,-6.922731260907867,-11.446136723670664,-14.495125026406967
2020-05-01,2020-05-01,2020,5,638522,640663.5619000205,664596.4583333333,2.2809724449383006,-9.702049683534552,-12.704239176968192
2020-06-01,2020-06-01,2020,6,637150,641293.2494000205,662667.625,0.0982867666349696,-6.997655344879039,-9.953244102048329
2020-07-01,2020-07-01,2020,7,639488,644493.8296696283,662550.0416666667,0.49908217069214444,-10.300072031197072,-13.209308364632735
2020-08-01,2020-08-01,2020,8,639583,644841.9350617852,664141.4999999999,0.054012214878040865,-10.634966906901456,-13.498072568903622
2020-09-01,2020-09-01,2020,9,644205,650182.7120225694,666168.3749999999,0.8282304035131416,-9.590075452583314,-12.407143711545864
2020-10-01,2020-10-01,2020,10,668220,669011.5723166871,670763.4166666667,2.8959337038577004,-6.7657100362078175,-9.536601524823867
2020-11-01,2020-11-01,2020,11,694264,690918.5749208537,677008.7916666666,3.274532685332465,-3.5166798792173215,-6.240926860345651
2020-12-01,2020-12-01,2020,12,706264,698892.9108583538,682848.2916666667,1.154164358428722,-2.9317977746524004,-5.608530556429144
2021-01-01,2021-01-01,2021,1,700574,698861.5410666871,688987.1666666666,-0.004488497619503651,2.6869944284630742,0.059095647924277905
2021-02-01,2021-02-01,2021,2,702420,701152.4629416871,695609.5833333334,0.3278076901332083,2.9222989811961364,0.3450473895028803
2021-03-01,2021-03-01,2021,3,708022,701700.5540875205,702767.4166666666,0.07817003787362609,4.270216392173687,1.7459181066698575
2021-04-01,2021-04-01,2021,4,711221,707920.0957541871,709256.125,0.8863526799910204,13.018376747250727,10.549828152613811
2021-05-01,2021-05-01,2021,5,706867,709008.5619000205,714095.0,0.1537555089001552,10.667845662598442,8.258319939249194
2021-06-01,2021-06-01,2021,6,708953,713096.2494000205,718118.6249999999,0.576535703468184,11.196593768479124,8.849759489586562
2021-07-01,2021-07-01,2021,7,715018,720023.8296696283,722080.6249999999,0.9714789939557988,11.71927433947928,9.439131749356221
2021-08-01,2021-08-01,2021,8,722991,728249.9350617852,725916.0,1.1424768255144047,12.934642656577267,10.725455385499073
2021-09-01,2021-09-01,2021,9,732585,738562.7120225694,729744.1666666666,1.4161040687094895,13.593102118183076,11.459324349580951
2021-10-01,2021-10-01,2021,10,735569,736360.5723166871,733636.0416666666,-0.29816556807366057,10.066940959897064,8.013134672214647
2021-11-01,2021-11-01,2021,11,743048,739702.5749208537,737181.8333333333,0.45385409401432764,7.060745183408668,5.091491729389458
2021-12-01,2021-12-01,2021,12,754047,746675.9108583538,740407.1250000001,0.9427215983730086,6.8369558851748335,4.95679416211935
2022-01-01,2022-01-01,2022,1,747879,746166.5410666871,743383.1250000001,-0.06821832394207084,6.768865822520054,4.98225298608422
2022-02-01,2022-02-01,2022,2,747164,745896.4629416871,746005.5416666667,-0.03619542154944533,6.381493664341775,4.692766881668383
2022-03-01,2022-03-01,2022,3,755154,748832.5540875205,748091.3333333334,0.3936325336969526,6.71682525052153,5.130163256930162
2022-04-01,2022-04-01,2022,4,757494,754193.0957541871,749612.2499999999,0.715853182050652,6.536472163670215,5.055859053036241
2022-05-01,2022-05-01,2022,5,745693,747834.5619000205,750835.7916666665,-0.8430909656907071,5.4760974812424035,4.105283121403951
2022-06-01,2022-06-01,2022,6,747534,751677.2494000205,750465.625,0.5138419238389869,5.410349589197949,4.152810610697776
2022-07-01,2022-07-01,2022,7,747861,752866.8296696283,748522.7083333335,0.15825678781116181,4.56137681096882,3.4202849304870204
2022-08-01,2022-08-01,2022,8,753086,758344.9350617852,746397.7916666667,0.7276327201931165,4.132509808936224,3.1106997859984817
2022-09-01,2022-09-01,2022,9,752549,758526.7120225694,743937.0,0.023970221515279277,2.7030879944274666,1.803031240317626
2022-10-01,2022-10-01,2022,10,752107,752898.5723166871,741124.7083333331,-0.7419830596176569,2.2459105799172985,1.4696911553642038
2022-11-01,2022-11-01,2022,11,755875,752529.5749208537,737080.4166666665,-0.049010239811975165,1.7340753479697435,1.0833760508691483
2022-12-01,2022-12-01,2022,12,732336,724964.9108583538,731882.7916666665,-3.662934319278943,-2.9076872153330546,-3.43159619012802
2023-01-01,2023-01-01,2023,1,722960,721247.5410666871,726552.7083333334,-0.5127654781616142,-3.3396029744749645,-3.7358723945368997
2023-02-01,2023-02-01,2023,2,721085,719817.4629416871,720902.4583333335,-0.19827840561993382,-3.496329758308403,-3.7645048752699757
2023-03-01,2023-03-01,2023,3,722174,715852.5540875205,716105.7083333334,-0.5508214315839477,-4.404188869725001,-4.54418059310306
2023-04-01,2023-04-01,2023,4,722979,719678.0957541871,712514.2916666665,0.5344035786172485,-4.576414209345858,-4.5884700594359185
2023-05-01,2023-05-01,2023,5,683145,685286.5619000205,709064.0833333333,-4.778738446683716,-8.363881958208042,-8.248551002962422
2023-06-01,2023-06-01,2023,6,685339,689482.2494000205,706551.5,0.6122529950634226,-8.274162887016113,-8.032260337182366
2023-07-01,2023-07-01,2023,7,682134,687139.8296696283,705228.3749999999,-0.33973604576920113,-8.73022922644131,-8.362772789335349
2023-08-01,2023-08-01,2023,8,683207,688465.9350617852,704074.375,0.19298916099717012,-9.2146722117036,-8.722820113892281
2023-09-01,2023-09-01,2023,9,707306,713283.7120225694,702845.875,3.6047937445963907,-5.964588890925415,-5.349575350658718
2023-10-01,2023-10-01,2023,10,711156,711947.5723166871,701538.3333333333,-0.18732233518883312,-5.43911245229125,-4.702180373791524
2023-11-01,2023-11-01,2023,11,714021,710675.5749208537,701703.0416666666,-0.178664475488588,-5.561774765384064,-4.704134461258445
2023-12-01,2023-12-01,2023,12,713888,706516.9108583538,703154.0833333334,-0.5851705348059899,-2.5446748833895527,-1.5674677923739913
2024-01-01,2024-01-01,2024,1,709653,707940.5410666871,704258.3333333334,0.20149980650905341,-1.8449976245769495,-0.749260014202408
2024-02-01,2024-02-01,2024,2,706696,705428.4629416871,705106.875,-0.35484309476258025,-1.9989790107614591,-0.7856298826950174
2024-03-01,2024-03-01,2024,3,707079,700757.5540875205,704669.2083333333,-0.6621378494835017,-2.10867446289148,-0.7785097716090661
2024-04-01,2024-04-01,2024,4,706693,703392.0957541871,703040.8333333334,0.3759562278421891,-2.262956187784637,-0.8166427786120551
2024-05-01,2024-05-01,2024,5,703384,705525.5619000205,701293.3333333333,0.3033110776637038,2.9533630345655038,4.515293432472417
2024-06-01,2024-06-01,2024,6,699925,704068.2494000205,700591.9166666666,-0.20655700922803666,2.115500437131268,3.792657512042648
2024-07-01,2024-07-01,2024,7,694050,699055.8296696283,700586.8333333333,-0.7119224215356379,1.734144854582098,3.5262448719669544
2024-08-01,2024-08-01,2024,8,691656,696914.9350617852,699929.6666666666,-0.3062551683253867,1.227221213093399,3.134057751286958
2024-09-01,2024-09-01,2024,9,688353,694330.7120225694,698577.0833333334,-0.3708089623573163,-2.6571474548686025,-0.6357307133444645
2024-10-01,2024-10-01,2024,10,691028,691819.5723166871,,-0.361663348949004,-2.8271744693929124,-0.6913079203740464
2024-11-01,2024-11-01,2024,11,692209,688863.5749208537,,-0.4272786596561051,-3.069192296700096,-0.8189755090505031
2024-12-01,2024-12-01,2024,12,718866,711494.9108583538,,3.2853146488548646,0.7045832765633531,3.0690868951175734
2025-01-01,2025-01-01,2025,1,704553,702840.5410666871,,-1.2163642577887268,-0.7203994833119176,1.758370038814204
2025-02-01,2025-02-01,2025,2,696024,694756.4629416871,,-1.1502008852151469,-1.5128394388138289,1.0801938587187974
2025-03-01,2025-03-01,2025,3,685289,678967.5540875205,,-2.272581788921313,-3.1094919880490623,-0.4021918117780503
