date,Wage_Date,year,month,Count_Workers,Count_Workers_sa,Count_Workers_trend,Count_Workers_sa_cycle
2008-01-01,2008-01-01,2008,1,340166,338453.54106668715,,-26273.34538862796
2008-02-01,2008-02-01,2008,2,354984,353716.46294168715,,-14193.345592213504
2008-03-01,2008-03-01,2008,3,367404,361082.55408752046,,-10009.973798535182
2008-04-01,2008-04-01,2008,4,366631,363330.0957541871,,-10944.636514606944
2008-05-01,2008-05-01,2008,5,366165,368306.5619000204,,-9149.470301657158
2008-06-01,2008-06-01,2008,6,369359,373502.2494000204,,-7133.7043548915535
2008-07-01,2008-07-01,2008,7,397086,402091.82966962823,383244.62499999994,18277.877268689626
2008-08-01,2008-08-01,2008,8,390930,396188.93506178516,387883.6666666666,9199.506493601366
2008-09-01,2008-09-01,2008,9,394180,400157.71202256944,391634.12499999994,9995.788304492016
2008-10-01,2008-10-01,2008,10,408345,409136.5723166871,394881.0416666666,15805.522020791192
2008-11-01,2008-11-01,2008,11,406801,403455.5749208538,397972.8333333333,6959.077045942249
2008-12-01,2008-12-01,2008,12,406194,398822.9108583538,400911.6666666667,-835.1671262312448
2009-01-01,2009-01-01,2009,1,401547,399834.54106668715,402719.0833333334,-2981.114784272213
2009-02-01,2009-02-01,2009,2,404940,403672.46294168715,403886.0833333333,-2296.6273141997517
2009-03-01,2009-03-01,2009,3,407459,401137.55408752046,405438.5,-7980.662891270418
2009-04-01,2009-04-01,2009,4,404502,401201.0957541871,406656.4583333333,-11061.758324017923
2009-05-01,2009-05-01,2009,5,402497,404638.5619000204,407950.5833333333,-10764.19613345334
2009-06-01,2009-06-01,2009,6,403559,407702.2494000204,409796.625,-10835.35057084792
2009-07-01,2009-07-01,2009,7,406264,411269.82966962823,412061.9583333333,-10397.138289962488
2009-08-01,2009-08-01,2009,8,409760,415018.93506178516,414576.1666666666,-9771.431400957925
2009-09-01,2009-09-01,2009,9,412608,418585.71202256944,417060.5416666666,-9321.507696025656
2009-10-01,2009-10-01,2009,10,419148,419939.5723166871,419922.8333333332,-11077.304251882015
2009-11-01,2009-11-01,2009,11,427057,423711.5749208538,423245.95833333326,-10407.039008020132
2009-12-01,2009-12-01,2009,12,430243,422871.9108583538,426744.91666666657,-14339.712384337618
2010-01-01,2010-01-01,2010,1,431866,430153.54106668715,430339.5833333333,-10141.474585289601
2010-02-01,2010-02-01,2010,2,434962,433694.46294168715,433998.5416666666,-9673.328711069073
2010-03-01,2010-03-01,2010,3,437062,430740.55408752046,437669.62499999994,-15688.319401416928
2010-04-01,2010-04-01,2010,4,443594,440293.0957541871,441267.91666666657,-9184.013010358904
2010-05-01,2010-05-01,2010,5,443160,445301.5619000204,444876.54166666657,-7209.662131740071
2010-06-01,2010-06-01,2010,6,446871,451014.2494000204,449339.74999999994,-4515.625578440784
2010-07-01,2010-07-01,2010,7,449224,454229.82966962823,454357.83333333326,-4301.8319927913835
2010-08-01,2010-08-01,2010,8,454615,459873.93506178516,459130.45833333326,-1641.214236831991
2010-09-01,2010-09-01,2010,9,455859,461836.71202256944,464184.8333333333,-2642.15788631764
2010-10-01,2010-10-01,2010,10,462256,463047.5723166871,469335.0833333333,-4373.770534685464
2010-11-01,2010-11-01,2010,11,470556,467210.5749208538,474357.9583333333,-3130.4921763421735
2010-12-01,2010-12-01,2010,12,493861,486489.9108583538,479324.1666666667,13253.402989103459
2011-01-01,2011-01-01,2011,1,488682,486969.54106668715,484195.6666666667,10863.434831290739
2011-02-01,2011-02-01,2011,2,492689,491421.46294168715,489061.625,12473.057414280018
2011-03-01,2011-03-01,2011,3,500640,494318.55408752046,494016.3333333333,12556.521187665698
2011-04-01,2011-04-01,2011,4,503622,500321.0957541871,499036.3333333333,15775.384004148189
2011-05-01,2011-05-01,2011,5,503681,505822.5619000204,504111.625,18524.299538023886
2011-06-01,2011-06-01,2011,6,505539,509682.2494000204,508614.7916666666,19663.62265661359
2011-07-01,2011-07-01,2011,7,507472,512477.82966962823,511699.95833333326,19771.939833268872
2011-08-01,2011-08-01,2011,8,513150,518408.93506178516,513991.83333333326,23049.64675335778
2011-09-01,2011-09-01,2011,9,516237,522214.71202256944,516241.20833333326,24236.500634121418
2011-10-01,2011-10-01,2011,10,522358,523149.5723166871,518436.7083333332,22587.346159215725
2011-11-01,2011-11-01,2011,11,532261,528915.5749208537,520622.74999999994,25804.488214270445
2011-12-01,2011-12-01,2011,12,540232,532860.9108583538,522833.2916666665,27236.189446406497
2012-01-01,2012-01-01,2012,1,516355,514642.54106668715,524642.3333333333,6539.283308254031
2012-02-01,2012-02-01,2012,2,520021,518753.46294168715,526147.0,8206.429554993985
2012-03-01,2012-03-01,2012,3,527293,520971.55408752046,527575.5416666666,8015.117692707223
2012-04-01,2012-04-01,2012,4,529661,526360.0957541871,528781.7916666667,11028.17755209218
2012-05-01,2012-05-01,2012,5,530107,532248.5619000205,529063.2083333334,14574.5698271367
2012-06-01,2012-06-01,2012,6,532166,536309.2494000205,528183.0,16325.993034532701
2012-07-01,2012-07-01,2012,7,524262,529267.8296696283,528728.5,7007.407773312705
2012-08-01,2012-08-01,2012,8,532472,537730.9350617852,530789.0,13224.609607841005
2012-09-01,2012-09-01,2012,9,531200,537177.7120225694,532902.0833333334,10455.854126114515
2012-10-01,2012-10-01,2012,10,536345,537136.5723166871,535179.75,8228.560193017125
2012-11-01,2012-11-01,2012,11,525028,521682.5749208538,537239.625,-9383.286792444938
2012-12-01,2012-12-01,2012,12,526340,518968.9108583538,539094.6666666667,-14227.632876673306
2013-01-01,2013-01-01,2013,1,543339,541626.5410666871,540939.3333333334,6325.418210050208
2013-02-01,2013-02-01,2013,2,542489,541221.4629416871,543004.9583333334,3840.908976895036
2013-03-01,2013-03-01,2013,3,555539,549217.5540875205,544240.875,9781.713334124768
2013-04-01,2013-04-01,2013,4,556079,552778.0957541871,544447.4166666666,11310.079201192828
2013-05-01,2013-05-01,2013,5,553126,555267.5619000205,545400.9583333334,11789.37172970327
2013-06-01,2013-06-01,2013,6,553668,557811.2494000205,547100.2083333333,12343.691718796734
2013-07-01,2013-07-01,2013,7,547032,552037.8296696283,547791.6666666667,4600.423540681135
2013-08-01,2013-08-01,2013,8,559277,564535.9350617852,547539.7083333334,15146.817260529031
2013-09-01,2013-09-01,2013,9,534057,540034.7120225694,547172.8333333334,-11289.398460444645
2013-10-01,2013-10-01,2013,10,538445,539236.5723166871,546659.625,-14007.346515987418
2013-11-01,2013-11-01,2013,11,545813,542467.5749208537,546228.9166666665,-12682.415478281677
2013-12-01,2013-12-01,2013,12,546337,538965.9108583538,545806.1666666666,-18077.753791562864
2014-01-01,2014-01-01,2014,1,539937,538224.5410666871,546765.9166666666,-20701.642127707135
2014-02-01,2014-02-01,2014,2,539844,538576.4629416871,548762.0416666666,-22222.18521141552
2014-03-01,2014-03-01,2014,3,549379,543057.5540875205,551356.0833333333,-19604.447824162897
2014-04-01,2014-04-01,2014,4,549922,546621.0957541871,555080.75,-17895.91963411239
2014-05-01,2014-05-01,2014,5,548946,551087.5619000205,558869.6249999999,-15276.746332206065
2014-06-01,2014-06-01,2014,6,547702,551845.2494000205,562681.625,-16359.112606919953
2014-07-01,2014-07-01,2014,7,576032,581037.8296696283,566599.4166666666,11000.289269840345
2014-08-01,2014-08-01,2014,8,578184,583442.9350617852,570678.75,11578.854191390099
2014-09-01,2014-09-01,2014,9,577407,583384.7120225694,574684.4166666666,9700.406265405822
2014-10-01,2014-10-01,2014,10,584487,585278.5723166871,578541.2916666666,9779.945575181744
2014-11-01,2014-11-01,2014,11,590704,587358.5749208537,582476.0416666667,10051.04456720699
2014-12-01,2014-12-01,2014,12,592934,585562.9108583538,586546.625,6451.332271997351
2015-01-01,2015-01-01,2015,1,587367,585654.5410666871,588331.4166666667,4743.130079927505
2015-02-01,2015-02-01,2015,2,590318,589050.4629416871,587750.875,6342.746060907724
2015-03-01,2015-03-01,2015,3,595041,588719.5540875205,587191.0416666667,4218.331894955365
2015-04-01,2015-04-01,2015,4,596825,593524.0957541871,586483.0416666666,7231.393966979114
2015-05-01,2015-05-01,2015,5,596477,598618.5619000205,585644.875,10535.59882136411
2015-06-01,2015-06-01,2015,6,597865,602008.2494000205,584904.4583333334,12135.380121368682
2015-07-01,2015-07-01,2015,7,568704,573709.8296696283,585440.2083333333,-17953.535222508246
2015-08-01,2015-08-01,2015,8,571579,576837.9350617852,587152.4583333334,-16617.552999459906
2015-09-01,2015-09-01,2015,9,570576,576553.7120225694,588844.3333333333,-18696.426375178387
2015-10-01,2015-10-01,2015,10,574326,575117.5723166871,590516.125,-21930.51497486839
2015-11-01,2015-11-01,2015,11,580749,577403.5749208537,592111.6666666667,-21446.386949176085
2015-12-01,2015-12-01,2015,12,585119,577747.9108583538,593623.125,-22908.309185242048
2016-01-01,2016-01-01,2016,1,608040,606327.5410666871,595066.0833333334,3860.3868253888795
2016-02-01,2016-02-01,2016,2,610739,609471.4629416871,596455.9583333334,5188.582811150933
2016-03-01,2016-03-01,2016,3,615225,608903.5540875205,597798.1666666667,2800.01092187583
2016-04-01,2016-04-01,2016,4,616764,613463.0957541871,599153.5416666666,5533.766917867702
2016-05-01,2016-05-01,2016,5,614831,616972.5619000205,600549.4583333334,7212.11766274157
2016-06-01,2016-06-01,2016,6,615786,619929.2494000205,601845.4166666666,8332.110237960354
2016-07-01,2016-07-01,2016,7,585414,590419.8296696283,602970.3333333334,-23019.889383627684
2016-08-01,2016-08-01,2016,8,588226,593484.9350617852,604006.5416666666,-21803.618582648574
2016-09-01,2016-09-01,2016,9,586142,592119.7120225694,605005.3333333333,-25024.123023987864
2016-10-01,2016-10-01,2016,10,591289,592080.5723166871,605970.5416666666,-26925.014816105482
2016-11-01,2016-11-01,2016,11,597288,593942.5749208537,606982.0833333334,-26931.065768082277
2016-12-01,2016-12-01,2016,12,599683,592311.9108583538,608061.9166666666,-30435.707887686673
2017-01-01,2017-01-01,2017,1,620474,618761.5410666871,610446.8749999999,-5865.395467037917
2017-02-01,2017-02-01,2017,2,623174,621906.4629416871,614144.5,-4604.31149649655
2017-03-01,2017-03-01,2017,3,626761,620439.5540875205,617975.0833333333,-7958.7135004095035
2017-04-01,2017-04-01,2017,4,628393,625092.0957541871,621947.1666666666,-5196.419830195373
2017-05-01,2017-05-01,2017,5,627479,629620.5619000205,625958.6250000001,-2559.9947191125248
2017-06-01,2017-06-01,2017,6,629054,633197.2494000205,630177.2916666666,-876.1393879207317
2017-07-01,2017-07-01,2017,7,629385,634390.8296696283,633607.5833333333,-1575.1607638926944
2017-08-01,2017-08-01,2017,8,632998,638256.9350617852,635942.2916666667,399.6019235337153
2017-09-01,2017-09-01,2017,9,633304,639281.7120225694,638239.8749999999,-464.6643079239875
2017-10-01,2017-10-01,2017,10,639457,640248.5723166871,640626.3333333333,-1383.5102052688599
2017-11-01,2017-11-01,2017,11,645395,642049.5749208537,643053.75,-1463.8357181217289
2017-12-01,2017-12-01,2017,12,652824,645452.9108583538,645496.8333333334,63.601925699273124
2018-01-01,2018-01-01,2018,1,649660,647947.5410666871,648094.875,688.8267076194752
2018-02-01,2018-02-01,2018,2,650021,648753.4629416871,649442.9583333333,-367.10142335738055
2018-03-01,2018-03-01,2018,3,655056,648734.5540875205,649523.8333333334,-2239.2476249154424
2018-04-01,2018-04-01,2018,4,657373,654072.0957541871,649810.9999999998,1254.7294236670714
2018-05-01,2018-05-01,2018,5,656757,658898.5619000205,650188.4583333333,4248.381029590964
2018-06-01,2018-06-01,2018,6,658410,662553.2494000205,651644.2916666667,6082.071735169389
2018-07-01,2018-07-01,2018,7,662382,667387.8296696283,653986.2083333334,9108.507842438878
2018-08-01,2018-08-01,2018,8,632355,637613.9350617852,656111.375,-22459.69033863023
2018-09-01,2018-09-01,2018,9,635888,641865.7120225694,659381.9583333333,-19987.458686626167
2018-10-01,2018-10-01,2018,10,643765,644556.5723166871,663830.8749999999,-19060.294461429934
2018-11-01,2018-11-01,2018,11,650146,646800.5749208537,668158.7083333334,-18562.893486694666
2018-12-01,2018-12-01,2018,12,683013,675641.9108583538,671391.75,8550.327530669048
2019-01-01,2019-01-01,2019,1,675677,673964.5410666871,674646.0833333334,5164.8650301687885
2019-02-01,2019-02-01,2019,2,675008,673740.4629416871,680274.4166666667,3254.1859348962316
2019-03-01,2019-03-01,2019,3,708563,702241.5540875205,686993.2500000001,30091.5975239228
2019-04-01,2019-04-01,2019,4,710640,707339.0957541871,693255.2083333334,33549.78561269352
2019-05-01,2019-05-01,2019,5,707358,709499.5619000205,699184.5416666666,34096.396536735
2019-06-01,2019-06-01,2019,6,685402,689545.2494000205,703920.4166666666,12554.640676437528
2019-07-01,2019-07-01,2019,7,713494,718499.8296696283,706044.1666666665,39948.839863153524
2019-08-01,2019-08-01,2019,8,716323,721581.9350617852,706632.2499999999,41498.17999350792
2019-09-01,2019-09-01,2019,9,713172,719149.7120225694,705724.9999999999,37561.05281004158
2019-10-01,2019-10-01,2019,10,716768,717559.5723166871,701131.625,34493.79517191695
2019-11-01,2019-11-01,2019,11,719447,716101.5749208537,694890.0000000001,31586.101327367127
2019-12-01,2019-12-01,2019,12,727373,720001.9108583538,690011.3333333334,34063.53141536715
2020-01-01,2020-01-01,2020,1,682287,680574.5410666871,684917.25,-6760.828230810119
2020-02-01,2020-02-01,2020,2,682512,681244.4629416871,678636.1666666665,-7463.117655448848
2020-03-01,2020-03-01,2020,3,679285,672963.5540875205,672565.0416666666,-17092.544527615653
2020-04-01,2020-04-01,2020,4,629677,626376.0957541871,667668.5833333333,-65005.85528475919
2020-05-01,2020-05-01,2020,5,638522,640663.5619000205,664596.4583333333,-52022.47176907689
2020-06-01,2020-06-01,2020,6,637150,641293.2494000205,662667.625,-52675.49131771014
2020-07-01,2020-07-01,2020,7,639488,644493.8296696283,662550.0416666667,-50736.23531939776
2020-08-01,2020-08-01,2020,8,639583,644841.9350617852,664141.4999999999,-51627.657778686145
2020-09-01,2020-09-01,2020,9,644205,650182.7120225694,666168.3749999999,-47503.807123687235
2020-10-01,2020-10-01,2020,10,668220,669011.5723166871,670763.4166666667,-29868.068102328572
2020-11-01,2020-11-01,2020,11,694264,690918.5749208537,677008.7916666666,-9128.811708806432
2020-12-01,2020-12-01,2020,12,706264,698892.9108583538,682848.2916666667,-2295.0464272592217
2021-01-01,2021-01-01,2021,1,700574,698861.5410666871,688987.1666666666,-3437.940389249008
2021-02-01,2021-02-01,2021,2,702420,701152.4629416871,695609.5833333334,-2227.607559312368
2021-03-01,2021-03-01,2021,3,708022,701700.5540875205,702767.4166666666,-2727.255166335497
2021-04-01,2021-04-01,2021,4,711221,707920.0957541871,709256.125,2479.3303949586116
2021-05-01,2021-05-01,2021,5,706867,709008.5619000205,714095.0,2591.5764818160096
2021-06-01,2021-06-01,2021,6,708953,713096.2494000205,718118.6249999999,5741.714237513486
2021-07-01,2021-07-01,2021,7,715018,720023.8296696283,722080.6249999999,11772.32934903691
2021-08-01,2021-08-01,2021,8,722991,728249.9350617852,725916.0,19143.92413752165
2021-09-01,2021-09-01,2021,9,732585,738562.7120225694,729744.1666666666,28646.42418136564
2021-10-01,2021-10-01,2021,10,735569,736360.5723166871,733636.0416666666,25679.87266213051
2021-11-01,2021-11-01,2021,11,743048,739702.5749208537,737181.8333333333,28304.73893616337
2021-12-01,2021-12-01,2021,12,754047,746675.9108583538,740407.1250000001,34609.42625921534
2022-01-01,2022-01-01,2022,1,747879,746166.5410666871,743383.1250000001,33480.88940048881
2022-02-01,2022-02-01,2022,2,747164,745896.4629416871,746005.5416666667,32641.852539478103
2022-03-01,2022-03-01,2022,3,755154,748832.5540875205,748091.3333333334,35059.66172381444
2022-04-01,2022-04-01,2022,4,757494,754193.0957541871,749612.2499999999,39952.81478081574
2022-05-01,2022-05-01,2022,5,745693,747834.5619000205,750835.7916666665,33177.73172405257
2022-06-01,2022-06-01,2022,6,747534,751677.2494000205,750465.625,36654.3472058702
2022-07-01,2022-07-01,2022,7,747861,752866.8296696283,748522.7083333335,37527.71441803826
2022-08-01,2022-08-01,2022,8,753086,758344.9350617852,746397.7916666667,42738.56466307363
2022-09-01,2022-09-01,2022,9,752549,758526.7120225694,743937.0,42700.853770932066
2022-10-01,2022-10-01,2022,10,752107,752898.5723166871,741124.7083333331,36899.473117322195
2022-11-01,2022-11-01,2022,11,755875,752529.5749208537,737080.4166666665,36401.63180806511
2022-12-01,2022-12-01,2022,12,732336,724964.9108583538,731882.7916666665,8750.386277394486
2023-01-01,2023-01-01,2023,1,722960,721247.5410666871,726552.7083333334,4986.281996970298
2023-02-01,2023-02-01,2023,2,721085,719817.4629416871,720902.4583333335,3546.8333783742273
2023-03-01,2023-03-01,2023,3,722174,715852.5540875205,716105.7083333334,-392.60343287768774
2023-04-01,2023-04-01,2023,4,722979,719678.0957541871,712514.2916666665,3490.7039870221633
2023-05-01,2023-05-01,2023,5,683145,685286.5619000205,709064.0833333333,-30813.31620043749
2023-06-01,2023-06-01,2023,6,685339,689482.2494000205,706551.5,-26502.939851545845
2023-07-01,2023-07-01,2023,7,682134,687139.8296696283,705228.3749999999,-28705.830525081255
2023-08-01,2023-08-01,2023,8,683207,688465.9350617852,704074.375,-27217.486344329547
2023-09-01,2023-09-01,2023,9,707306,713283.7120225694,702845.875,-2216.6698438336607
2023-10-01,2023-10-01,2023,10,711156,711947.5723166871,701538.3333333333,-3350.6682280398672
2023-11-01,2023-11-01,2023,11,714021,710675.5749208537,701703.0416666666,-4403.104385450832
2023-12-01,2023-12-01,2023,12,713888,706516.9108583538,703154.0833333334,-8326.44330407842
2024-01-01,2024-01-01,2024,1,709653,707940.5410666871,704258.3333333334,-6653.346083148499
2024-02-01,2024-02-01,2024,2,706696,705428.4629416871,705106.875,-8903.37311630533
2024-03-01,2024-03-01,2024,3,707079,700757.5540875205,704669.2083333333,-13301.153251313022
2024-04-01,2024-04-01,2024,4,706693,703392.0957541871,703040.8333333334,-10383.842991235899
2024-05-01,2024-05-01,2024,5,703384,705525.5619000205,701293.3333333333,-7959.30349844927
2024-06-01,2024-06-01,2024,6,699925,704068.2494000205,700591.9166666666,-9118.492896416807
2024-07-01,2024-07-01,2024,7,694050,699055.8296696283,700586.8333333333,-13826.933353781467
2024-08-01,2024-08-01,2024,8,691656,696914.9350617852,699929.6666666666,-15659.115742944763
2024-09-01,2024-09-01,2024,9,688353,694330.7120225694,698577.0833333334,-17930.910153870704
2024-10-01,2024-10-01,2024,10,691028,691819.5723166871,,-20126.800531384535
2024-11-01,2024-11-01,2024,11,692209,688863.5749208537,,-22765.48525251448
2024-12-01,2024-12-01,2024,12,718866,711494.9108583538,,184.62465166754555
2025-01-01,2025-01-01,2025,1,704553,702840.5410666871,,-8149.936276087421
2025-02-01,2025-02-01,2025,2,696024,694756.4629416871,,-15913.598459266825
2025-03-01,2025-03-01,2025,3,685289,678967.5540875205,,-31381.849227714585
