Sector From,Sector To,Cantidad Trabajadores,Total trabajadores que se movieron
"Agriculture, forestry and fishing",Unemployment,707605,756707
"Agriculture, forestry and fishing","Wholesale and retail trade, accommodation and food services",10180,756707
"Agriculture, forestry and fishing",Construction,8746,756707
"Agriculture, forestry and fishing",Manufacturing,8685,756707
"Agriculture, forestry and fishing",Business services,8531,756707
"Agriculture, forestry and fishing","Transport, communications and information services",4391,756707
"Agriculture, forestry and fishing",Personal services,3906,756707
"Agriculture, forestry and fishing",Financial intermediation,2662,756707
"Agriculture, forestry and fishing",Real estate and housing services,586,756707
"Agriculture, forestry and fishing",Mining,499,756707
"Agriculture, forestry and fishing",Public administration,480,756707
"Agriculture, forestry and fishing","Electricity, gas, water and waste management",436,756707
Business services,Unemployment,1094840,1345222
Business services,Construction,52336,1345222
Business services,"Wholesale and retail trade, accommodation and food services",49325,1345222
Business services,Personal services,39961,1345222
Business services,"Transport, communications and information services",32725,1345222
Business services,Manufacturing,31077,1345222
Business services,Financial intermediation,19572,1345222
Business services,"Agriculture, forestry and fishing",8987,1345222
Business services,Mining,7126,1345222
Business services,"Electricity, gas, water and waste management",4685,1345222
Business services,Real estate and housing services,2901,1345222
Business services,Public administration,1687,1345222
Construction,Unemployment,1444027,1591477
Construction,Business services,53285,1591477
Construction,Manufacturing,23938,1591477
Construction,"Wholesale and retail trade, accommodation and food services",16333,1591477
Construction,"Transport, communications and information services",12315,1591477
Construction,Personal services,11034,1591477
Construction,Financial intermediation,7696,1591477
Construction,"Agriculture, forestry and fishing",7680,1591477
Construction,Mining,5789,1591477
Construction,"Electricity, gas, water and waste management",4266,1591477
Construction,Real estate and housing services,3865,1591477
Construction,Public administration,1249,1591477
"Electricity, gas, water and waste management",Unemployment,55357,67944
"Electricity, gas, water and waste management",Construction,3504,67944
"Electricity, gas, water and waste management",Business services,3034,67944
"Electricity, gas, water and waste management","Wholesale and retail trade, accommodation and food services",1139,67944
"Electricity, gas, water and waste management","Transport, communications and information services",1040,67944
"Electricity, gas, water and waste management",Financial intermediation,975,67944
"Electricity, gas, water and waste management",Personal services,972,67944
"Electricity, gas, water and waste management",Manufacturing,945,67944
"Electricity, gas, water and waste management",Mining,435,67944
"Electricity, gas, water and waste management","Agriculture, forestry and fishing",349,67944
"Electricity, gas, water and waste management",Public administration,114,67944
"Electricity, gas, water and waste management",Real estate and housing services,80,67944
Entry,"Wholesale and retail trade, accommodation and food services",301017,1474231
Entry,Personal services,208073,1474231
Entry,Business services,201052,1474231
Entry,Unemployment,182177,1474231
Entry,Construction,154157,1474231
Entry,Manufacturing,131380,1474231
Entry,"Transport, communications and information services",113893,1474231
Entry,"Agriculture, forestry and fishing",84166,1474231
Entry,Financial intermediation,42077,1474231
Entry,Public administration,19376,1474231
Entry,Mining,15666,1474231
Entry,Real estate and housing services,11464,1474231
Entry,"Electricity, gas, water and waste management",9733,1474231
Financial intermediation,Unemployment,212940,278810
Financial intermediation,Business services,14407,278810
Financial intermediation,"Wholesale and retail trade, accommodation and food services",12647,278810
Financial intermediation,Personal services,11524,278810
Financial intermediation,"Transport, communications and information services",7726,278810
Financial intermediation,Construction,6869,278810
Financial intermediation,Manufacturing,6264,278810
Financial intermediation,"Agriculture, forestry and fishing",2508,278810
Financial intermediation,Real estate and housing services,1426,278810
Financial intermediation,Mining,1365,278810
Financial intermediation,"Electricity, gas, water and waste management",741,278810
Financial intermediation,Public administration,393,278810
Manufacturing,Unemployment,613318,722409
Manufacturing,"Wholesale and retail trade, accommodation and food services",25007,722409
Manufacturing,Construction,24839,722409
Manufacturing,Business services,23837,722409
Manufacturing,"Agriculture, forestry and fishing",8778,722409
Manufacturing,Personal services,7952,722409
Manufacturing,"Transport, communications and information services",7394,722409
Manufacturing,Financial intermediation,6511,722409
Manufacturing,Mining,2410,722409
Manufacturing,"Electricity, gas, water and waste management",1250,722409
Manufacturing,Real estate and housing services,676,722409
Manufacturing,Public administration,437,722409
Mining,Unemployment,156180,170027
Mining,Construction,3918,170027
Mining,Business services,3834,170027
Mining,Manufacturing,1284,170027
Mining,Financial intermediation,1238,170027
Mining,"Transport, communications and information services",1197,170027
Mining,"Wholesale and retail trade, accommodation and food services",1156,170027
Mining,Personal services,570,170027
Mining,"Agriculture, forestry and fishing",273,170027
Mining,"Electricity, gas, water and waste management",260,170027
Mining,Real estate and housing services,70,170027
Mining,Public administration,47,170027
Personal services,Unemployment,756634,875751
Personal services,Business services,37923,875751
Personal services,"Wholesale and retail trade, accommodation and food services",22438,875751
Personal services,Financial intermediation,12533,875751
Personal services,Construction,12142,875751
Personal services,"Transport, communications and information services",11028,875751
Personal services,Manufacturing,10341,875751
Personal services,Public administration,4147,875751
Personal services,"Agriculture, forestry and fishing",4066,875751
Personal services,Real estate and housing services,2028,875751
Personal services,"Electricity, gas, water and waste management",1429,875751
Personal services,Mining,1042,875751
Public administration,Unemployment,72260,83605
Public administration,Personal services,5136,83605
Public administration,Business services,1515,83605
Public administration,Construction,1325,83605
Public administration,"Wholesale and retail trade, accommodation and food services",1224,83605
Public administration,"Transport, communications and information services",494,83605
Public administration,"Agriculture, forestry and fishing",476,83605
Public administration,Manufacturing,448,83605
Public administration,Financial intermediation,447,83605
Public administration,"Electricity, gas, water and waste management",149,83605
Public administration,Mining,75,83605
Public administration,Real estate and housing services,56,83605
Real estate and housing services,Unemployment,47696,62827
Real estate and housing services,Construction,3514,62827
Real estate and housing services,"Wholesale and retail trade, accommodation and food services",2721,62827
Real estate and housing services,Business services,2690,62827
Real estate and housing services,Personal services,2466,62827
Real estate and housing services,Financial intermediation,1412,62827
Real estate and housing services,"Transport, communications and information services",825,62827
Real estate and housing services,Manufacturing,712,62827
Real estate and housing services,"Agriculture, forestry and fishing",431,62827
Real estate and housing services,Mining,192,62827
Real estate and housing services,"Electricity, gas, water and waste management",101,62827
Real estate and housing services,Public administration,67,62827
"Transport, communications and information services",Unemployment,544430,637050
"Transport, communications and information services",Business services,26474,637050
"Transport, communications and information services","Wholesale and retail trade, accommodation and food services",16913,637050
"Transport, communications and information services",Construction,13538,637050
"Transport, communications and information services",Personal services,9663,637050
"Transport, communications and information services",Financial intermediation,9605,637050
"Transport, communications and information services",Manufacturing,7613,637050
"Transport, communications and information services","Agriculture, forestry and fishing",4217,637050
"Transport, communications and information services",Mining,1871,637050
"Transport, communications and information services","Electricity, gas, water and waste management",1412,637050
"Transport, communications and information services",Real estate and housing services,838,637050
"Transport, communications and information services",Public administration,476,637050
Unemployment,Construction,1374379,6513854
Unemployment,"Wholesale and retail trade, accommodation and food services",1161551,6513854
Unemployment,Business services,1049866,6513854
Unemployment,Personal services,693071,6513854
Unemployment,"Agriculture, forestry and fishing",669152,6513854
Unemployment,Manufacturing,553939,6513854
Unemployment,"Transport, communications and information services",507708,6513854
Unemployment,Financial intermediation,191825,6513854
Unemployment,Mining,148203,6513854
Unemployment,Public administration,68048,6513854
Unemployment,"Electricity, gas, water and waste management",53069,6513854
Unemployment,Real estate and housing services,43043,6513854
"Wholesale and retail trade, accommodation and food services",Unemployment,1297190,1456302
"Wholesale and retail trade, accommodation and food services",Business services,43749,1456302
"Wholesale and retail trade, accommodation and food services",Manufacturing,24952,1456302
"Wholesale and retail trade, accommodation and food services",Personal services,21240,1456302
"Wholesale and retail trade, accommodation and food services",Construction,19319,1456302
"Wholesale and retail trade, accommodation and food services","Transport, communications and information services",17717,1456302
"Wholesale and retail trade, accommodation and food services",Financial intermediation,14316,1456302
"Wholesale and retail trade, accommodation and food services","Agriculture, forestry and fishing",10018,1456302
"Wholesale and retail trade, accommodation and food services",Real estate and housing services,2558,1456302
"Wholesale and retail trade, accommodation and food services",Mining,2449,1456302
"Wholesale and retail trade, accommodation and food services","Electricity, gas, water and waste management",1453,1456302
"Wholesale and retail trade, accommodation and food services",Public administration,1341,1456302
